metatype	system_cluster	gold_cluster	similarity
Entity	cluster-NILE21835	cluster-NILE21835	1
Entity	cluster-NILE21836	cluster-NILE21836	1
Entity	cluster-NILE21837	cluster-NILE21837	1
Entity	cluster-NILE21838	cluster-NILE21838	1
Entity	cluster-NILE21839	cluster-NILE21839	1
Entity	cluster-NILE21840	cluster-NILE21840	1
Entity	cluster-NILE21841	cluster-NILE21841	1
Entity	cluster-NILE21842	cluster-NILE21842	1
Entity	cluster-NILE21843	cluster-NILE21843	1
Entity	cluster-NILE21844	cluster-NILE21844	1
Entity	cluster-NILE21845	cluster-NILE21845	1
Relation	cluster-NILR21835	cluster-NILR21835	1
Relation	cluster-NILR21836	cluster-NILR21836	1
Relation	cluster-NILR21837	cluster-NILR21837	1
Event	cluster-NILV21835	cluster-NILV21835	3
Event	cluster-NILV21836	cluster-NILV21836	1
