metatype	system_cluster	gold_cluster	similarity
Entity	cluster-NILE21855	cluster-NILE21855	3
Entity	cluster-NILE21856	cluster-NILE21856	3
Entity	cluster-NILE21857	cluster-NILE21857	1
Entity	cluster-NILE21858	cluster-NILE21858	1
Entity	cluster-NILE21859	cluster-NILE21859	1
Entity	cluster-NILE21860	cluster-NILE21860	3
Entity	cluster-NILE21861	cluster-NILE21861	8
Entity	cluster-NILE21862	cluster-NILE21862	4
Entity	cluster-NILE21863	cluster-NILE21863	24
Entity	cluster-NILE21864	cluster-NILE21864	1
Entity	cluster-NILE21865	cluster-NILE21865	1
Entity	cluster-NILE21866	cluster-NILE21866	5
Entity	cluster-NILE21867	cluster-NILE21867	1
Entity	cluster-NILE21868	cluster-NILE21868	1
Entity	cluster-NILE21869	cluster-NILE21869	1
Entity	cluster-NILE21870	cluster-NILE21870	4
Entity	cluster-NILE21871	cluster-NILE21871	3
Entity	cluster-NILE21872	cluster-NILE21872	1
Entity	cluster-NILE21873	cluster-NILE21873	1
Entity	cluster-NILE21874	cluster-NILE21874	2
Entity	cluster-NILE21875	cluster-NILE21875	2
Entity	cluster-NILE21876	cluster-NILE21876	2
Entity	cluster-NILE21877	cluster-NILE21877	2
Entity	cluster-NILE21878	cluster-NILE21878	1
Entity	cluster-NILE21879	cluster-NILE21879	7
Entity	cluster-NILE21880	cluster-NILE21880	7
Entity	cluster-NILE21881	cluster-NILE21881	1
Entity	cluster-NILE21882	cluster-NILE21882	1
Entity	cluster-NILE21883	cluster-NILE21883	1
Entity	cluster-NILE21884	cluster-NILE21884	1
Entity	cluster-NILE21885	cluster-NILE21885	5
Entity	cluster-NILE21886	cluster-NILE21886	2
Relation	cluster-NILR21855	cluster-NILR21855	1
Relation	cluster-NILR21856	cluster-NILR21856	1
Relation	cluster-NILR21857	cluster-NILR21857	1
Relation	cluster-NILR21858	cluster-NILR21858	1
Relation	cluster-NILR21859	cluster-NILR21859	1
Relation	cluster-NILR21860	cluster-NILR21860	1
Event	cluster-NILV21868	cluster-NILV21868	16
Event	cluster-NILV21869	cluster-NILV21869	1
Event	cluster-NILV21870	cluster-NILV21870	1
Event	cluster-NILV21871	cluster-NILV21871	1
Event	cluster-NILV21872	cluster-NILV21872	1
Event	cluster-NILV21874	cluster-NILV21874	1
Event	cluster-NILV21875	cluster-NILV21875	2
Event	cluster-NILV21876	cluster-NILV21876	2
