metatype	system_cluster	gold_cluster	similarity
Entity	cluster-NILE20001	cluster-NILE20001	1
Entity	cluster-NILE20002	cluster-NILE20002	6
Entity	cluster-NILE20003	cluster-NILE20003	1
Entity	cluster-NILE20004	cluster-NILE20004	2
Entity	cluster-NILE20005	cluster-NILE20005	15
Entity	cluster-NILE20006	cluster-NILE20006	1
Entity	cluster-NILE20007	cluster-NILE20007	6
Entity	cluster-NILE20008	cluster-NILE20008	3
Entity	cluster-NILE20009	cluster-NILE20009	1
Entity	cluster-NILE20010	cluster-NILE20010	3
Entity	cluster-NILE20011	cluster-NILE20011	1
Entity	cluster-NILE20012	cluster-NILE20012	1
Entity	cluster-NILE20013	cluster-NILE20013	1
Entity	cluster-NILE20014	cluster-NILE20014	1
Entity	cluster-NILE20015	cluster-NILE20015	3
Entity	cluster-NILE20016	cluster-NILE20016	1
Entity	cluster-NILE20017	cluster-NILE20017	1
Entity	cluster-NILE20018	cluster-NILE20018	2
Entity	cluster-NILE20019	cluster-NILE20019	1
Entity	cluster-NILE20020	cluster-NILE20020	6
Entity	cluster-NILE20021	cluster-NILE20021	1
Entity	cluster-NILE20022	cluster-NILE20022	1
Entity	cluster-NILE20023	cluster-NILE20023	3
Relation	cluster-NILR20003	cluster-NILR20003	1
Relation	cluster-NILR20004	cluster-NILR20004	1
Relation	cluster-NILR20005	cluster-NILR20005	1
Relation	cluster-NILR20006	cluster-NILR20006	1
Relation	cluster-NILR20007	cluster-NILR20007	1
Relation	cluster-NILR20008	cluster-NILR20008	1
Event	cluster-NILV20001	cluster-NILV20001	4
Event	cluster-NILV20002	cluster-NILV20002	2
Event	cluster-NILV20003	cluster-NILV20003	1
Event	cluster-NILV20004	cluster-NILV20004	1
Event	cluster-NILV20005	cluster-NILV20005	8
Event	cluster-NILV20006	cluster-NILV20006	1
Event	cluster-NILV20007	cluster-NILV20007	1
Event	cluster-NILV20008	cluster-NILV20008	1
Event	cluster-NILV20009	cluster-NILV20009	2
Event	cluster-NILV20010	cluster-NILV20010	1
Event	cluster-NILV20011	cluster-NILV20011	1
Event	cluster-NILV20012	cluster-NILV20012	3
