ClaimID	JustificationNum	EdgeID	EdgeLabel	IsEdgeNegated	EvtRelMetatype	EvtRelType	EvtRelClusterID	IsEvtRelNegated	ObjMetatype	ObjectType	ObjClusterID	IsObjNegated	ObjectHandle	DocID	SubjectJustification	PredicateJustification	ArgumentJustification
CLL0C0496PB.000082	1	cluster-NILCRML0C0496PB.000350::A0::cluster-NILCEML0C0496PB.000143	A0	NotNegated	Relation	Q621695	cluster-NILCRML0C0496PB.000350	NotNegated	Entity	Q215627	cluster-NILCEML0C0496PB.000143	NotNegated	the world’s population	L0C0496PB	NULL	L0C0496PB:L0C049DUI:(1,0)-(916,0)	L0C0496PB:L0C049DUI:(1,0)-(916,0)
CLL0C0496PB.000082	2	cluster-NILCVML0C0496PB.000158::A2_gol_recipient_hearer::cluster-NILCEML0C0496PB.000133	A2_gol_recipient_hearer	NotNegated	Event	Q567303	cluster-NILCVML0C0496PB.000158	NotNegated	Entity	Q215627	cluster-NILCEML0C0496PB.000133	NotNegated	followers on Twitter	L0C0496PB	NULL	L0C0496PB:L0C049DUI:(1,0)-(916,0)	L0C0496PB:L0C049DUI:(1,0)-(916,0)
CLL0C0496PB.000082	3	cluster-NILCVML0C0496PB.000158::AM_mnr__manner::cluster-NILCEML0C0496PB.000138	AM_mnr__manner	NotNegated	Event	Q567303	cluster-NILCVML0C0496PB.000158	NotNegated	Entity	Q15621286	cluster-NILCEML0C0496PB.000138	NotNegated	Twitter	L0C0496PB	NULL	L0C0496PB:L0C049DUI:(1,0)-(916,0)	L0C0496PB:L0C049DUI:(1,0)-(916,0)
CLL0C0496PB.000082	4	cluster-NILCVML0C0496PB.000158::A0_pag_agent_announcer::cluster-NILCEML0C0496PB.000113	A0_pag_agent_announcer	NotNegated	Event	Q567303	cluster-NILCVML0C0496PB.000158	NotNegated	Entity	Q107711	cluster-NILCEML0C0496PB.000113	NotNegated	Piers Corbyn	L0C0496PB	NULL	L0C0496PB:L0C049DUI:(1,0)-(916,0)	L0C0496PB:L0C049DUI:(1,0)-(916,0)
CLL0C0496PB.000082	5	cluster-NILCVML0C0496PB.000186::A1_ppt_result_thing_created::cluster-NILCEML0C0496PB.000128	A1_ppt_result_thing_created	NotNegated	Event	Q11398090	cluster-NILCVML0C0496PB.000186	NotNegated	Entity	EMPTY_TBD	cluster-NILCEML0C0496PB.000128	NotNegated	Coronavirus	L0C0496PB	NULL	L0C0496PB:L0C049DUI:(1,0)-(916,0)	L0C0496PB:L0C049DUI:(1,0)-(916,0)
CLL0C0496PB.000082	6	cluster-NILCVML0C0496PB.000186::A0_pag_agent_creator::cluster-NILCEML0C0496PB.000118	A0_pag_agent_creator	NotNegated	Event	Q11398090	cluster-NILCVML0C0496PB.000186	NotNegated	Entity	Q107711	cluster-NILCEML0C0496PB.000118	NotNegated	Bill Gates	L0C0496PB	NULL	L0C0496PB:L0C049DUI:(1,0)-(916,0)	L0C0496PB:L0C049DUI:(1,0)-(916,0)
CLL0C0496PB.000082	7	cluster-NILCVML0C0496PB.000186::A0_pag_agent_creator::cluster-NILCEML0C0496PB.000153	A0_pag_agent_creator	NotNegated	Event	Q11398090	cluster-NILCVML0C0496PB.000186	NotNegated	Entity	Q215627	cluster-NILCEML0C0496PB.000153	NotNegated	Cronies of Gates and Soros	L0C0496PB	NULL	L0C0496PB:L0C049DUI:(1,0)-(916,0)	L0C0496PB:L0C049DUI:(1,0)-(916,0)
CLL0C0496PB.000082	8	cluster-NILCVML0C0496PB.000186::A0_pag_agent_creator::cluster-NILCEML0C0496PB.000123	A0_pag_agent_creator	NotNegated	Event	Q11398090	cluster-NILCVML0C0496PB.000186	NotNegated	Entity	Q107711	cluster-NILCEML0C0496PB.000123	NotNegated	George Soros	L0C0496PB	NULL	L0C0496PB:L0C049DUI:(1,0)-(916,0)	L0C0496PB:L0C049DUI:(1,0)-(916,0)
CLL0C0496PB.000082	9	cluster-NILCVML0C0496PB.000214::A1_ppt_result_thing_created::cluster-NILCEML0C0496PB.000148	A1_ppt_result_thing_created	NotNegated	Event	Q11398090	cluster-NILCVML0C0496PB.000214	NotNegated	Entity	Q134808	cluster-NILCEML0C0496PB.000148	NotNegated	covid vaccine	L0C0496PB	NULL	L0C0496PB:L0C049DUI:(1,0)-(916,0)	L0C0496PB:L0C049DUI:(1,0)-(916,0)
CLL0C0496PB.000082	10	cluster-NILCVML0C0496PB.000214::A2_vsp_material_materials_used::cluster-NILCEML0C0496PB.000238	A2_vsp_material_materials_used	NotNegated	Event	Q11398090	cluster-NILCVML0C0496PB.000214	NotNegated	Entity	Q728	cluster-NILCEML0C0496PB.000238	NotNegated	poison	L0C0496PB	NULL	L0C0496PB:L0C049DUI:(1,0)-(916,0)	L0C0496PB:L0C049DUI:(1,0)-(916,0)
