?cluster	?sa_month	?sa_day	?sa_year	?sb_month	?sb_day	?sb_year	?ea_month	?ea_day	?ea_year	?eb_month	?eb_day	?eb_year
cluster-NILR22455												
cluster-NILR22456				"09"	"30"	"2014"				"09"	"30"	"2014"
cluster-NILR22457				"09"	"30"	"2014"				"09"	"30"	"2014"
cluster-NILR22458				"09"	"30"	"2014"				"09"	"30"	"2014"
cluster-NILR22459												
cluster-NILV22455												
cluster-NILV22456												
cluster-NILV22457				"09"	"30"	"2014"				"09"	"30"	"2014"
cluster-NILV22458				"09"	"30"	"2014"				"09"	"30"	"2014"
cluster-NILV22459												
cluster-NILV22460												
cluster-NILV22461												
