?cluster	?metatype	?type	?mention_span	?type_statement_confidence	?cluster_membership_confidence	?mention_type_justification_confidence
cluster-NILE21835	Entity	ORG.Government.Agency	KC003A7RG:KC003ADVE:(3990,0)-(3992,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21836	Entity	ORG.PoliticalOrganization	KC003A7RG:KC003ADVE:(3411,0)-(3433,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21837	Entity	ORG.PoliticalOrganization	KC003A7RG:KC003ADVE:(3766,0)-(3768,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21838	Entity	PER.Politician	KC003A7RG:KC003ADVE:(3751,0)-(3758,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21839	Entity	PER.Politician	KC003A7RG:KC003ADVE:(3698,0)-(3708,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21840	Entity	PER.ProfessionalPosition	KC003A7RG:KC003ADVE:(3947,0)-(3956,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21841	Entity	PER.ProfessionalPosition	KC003A7RG:KC003ADVE:(3683,0)-(3707,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21842	Entity	PER	KC003A7RG:KC003ADVE:(3386,0)-(3388,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21843	Entity	PER	KC003A7RG:KC003ADVE:(3820,0)-(3825,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21844	Entity	PER	KC003A7RG:KC003ADVE:(3891,0)-(3915,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21845	Entity	RES.TurnoutVoters.TurnoutVoters	KC003A7RG:KC003ADVE:(4115,0)-(4126,0)	"1.0"	"1.0"	"1.0"
cluster-NILR21835	Relation	OrganizationAffiliation.EmploymentMembership.Employment	KC003A7RG:KC003ADVE:(3947,0)-(3956,0)	"1.0"	"1.0"	"1.0"
cluster-NILR21836	Relation	OrganizationAffiliation.EmploymentMembership.Employment	KC003A7RG:KC003ADVE:(3751,0)-(3758,0)	"1.0"	"1.0"	"1.0"
cluster-NILR21837	Relation	GeneralAffiliation.MemberOriginReligionEthnicity	KC003A7RG:KC003ADVE:(3683,0)-(3692,0)	"1.0"	"1.0"	"1.0"
cluster-NILV21835	Event	Government.Vote.CastVote	KC003A7RG:KC003ADVE:(3368,0)-(3380,0)	"1.0"	"1.0"	"1.0"
cluster-NILV21835	Event	Government.Vote.CastVote	KC003A7RG:KC003ADVE:(3505,0)-(3512,0)	"1.0"	"1.0"	"1.0"
cluster-NILV21835	Event	Government.Vote.CastVote	KC003A7RG:KC003ADVE:(3820,0)-(3825,0)	"1.0"	"1.0"	"1.0"
cluster-NILV21836	Event	Government.Vote.CastVote	KC003A7RG:KC003ADVE:(4039,0)-(4048,0)	"1.0"	"1.0"	"1.0"
