metatype	system_cluster	gold_cluster	similarity
Entity	cluster-NILQE30927	cluster-NILQE30927	1.0
Entity	cluster-NILQE30928	cluster-NILQE30928	1.0
Entity	cluster-NILQE30929	cluster-NILQE30929	1.0
Entity	cluster-NILQE30930	cluster-NILQE30930	1.0
Entity	cluster-NILQE30931	cluster-NILQE30931	1.0
Entity	cluster-NILQE30932	cluster-NILQE30932	1.0
Entity	cluster-NILQE30933	cluster-NILQE30933	1.0
Entity	cluster-NILQE30934	cluster-NILQE30934	1.0
Entity	cluster-NILQE30935	cluster-NILQE30935	1.0
Entity	cluster-NILQE30936	cluster-NILQE30936	1.0
Relation	cluster-NILQR30313	cluster-NILQR30313	1.0
Relation	cluster-NILQR30314	cluster-NILQR30314	1.0
Relation	cluster-NILQR30315	cluster-NILQR30315	1.0
Relation	cluster-NILQR30316	cluster-NILQR30316	1.0
Relation	cluster-NILQR30317	cluster-NILQR30317	1.0
Relation	cluster-NILQR30318	cluster-NILQR30318	1.0
Relation	cluster-NILQR30319	cluster-NILQR30319	1.0
Event	cluster-NILQV30878	cluster-NILQV30878	1.0
Event	cluster-NILQV30879	cluster-NILQV30879	1.0
Event	cluster-NILQV30880	cluster-NILQV30880	1.0
Event	cluster-NILQV30881	cluster-NILQV30881	1.0
Event	cluster-NILQV30882	cluster-NILQV30882	1.0
Event	cluster-NILQV30883	cluster-NILQV30883	1.0
Event	cluster-NILQV30884	cluster-NILQV30884	1.0
Event	cluster-NILQV30885	cluster-NILQV30885	1.0
Event	cluster-NILQV30886	cluster-NILQV30886	1.0
Entity	cluster-Q3065012	cluster-Q3065012	1.0
Entity	cluster-Q84426668	cluster-Q84426668	1.0
Entity	cluster-Q939416	cluster-Q939416	1.0
