metatype	system_cluster	gold_cluster	similarity
Entity	cluster-NILE20310	cluster-NILE20310	3
Entity	cluster-NILE20311	cluster-NILE20311	1
Entity	cluster-NILE20312	cluster-NILE20312	2
Entity	cluster-NILE20313	cluster-NILE20313	1
Entity	cluster-NILE20314	cluster-NILE20314	1
Entity	cluster-NILE20315	cluster-NILE20315	1
Entity	cluster-NILE20316	cluster-NILE20316	1
Entity	cluster-NILE20317	cluster-NILE20317	1
Entity	cluster-NILE20318	cluster-NILE20318	2
Entity	cluster-NILE20319	cluster-NILE20319	1
Entity	cluster-NILE20320	cluster-NILE20320	10
Entity	cluster-NILE20321	cluster-NILE20321	1
Entity	cluster-NILE20322	cluster-NILE20322	6
Entity	cluster-NILE20323	cluster-NILE20323	1
Entity	cluster-NILE20324	cluster-NILE20324	1
Entity	cluster-NILE20325	cluster-NILE20325	1
Entity	cluster-NILE20326	cluster-NILE20326	1
Entity	cluster-NILE20327	cluster-NILE20327	1
Entity	cluster-NILE20328	cluster-NILE20328	1
Entity	cluster-NILE20329	cluster-NILE20329	3
Entity	cluster-NILE20330	cluster-NILE20330	1
Entity	cluster-NILE20331	cluster-NILE20331	1
Entity	cluster-NILE20332	cluster-NILE20332	1
Entity	cluster-NILE20333	cluster-NILE20333	1
Entity	cluster-NILE20334	cluster-NILE20334	1
Entity	cluster-NILE20335	cluster-NILE20335	1
Entity	cluster-NILE20336	cluster-NILE20336	1
Entity	cluster-NILE20337	cluster-NILE20337	1
Entity	cluster-NILE20338	cluster-NILE20338	1
Entity	cluster-NILE20339	cluster-NILE20339	4
Entity	cluster-NILE20340	cluster-NILE20340	1
Entity	cluster-NILE20341	cluster-NILE20341	1
Entity	cluster-NILE20342	cluster-NILE20342	3
Entity	cluster-NILE20343	cluster-NILE20343	1
Entity	cluster-NILE20344	cluster-NILE20344	1
Relation	cluster-NILR20310	cluster-NILR20310	1
Relation	cluster-NILR20311	cluster-NILR20311	1
Relation	cluster-NILR20312	cluster-NILR20312	1
Relation	cluster-NILR20313	cluster-NILR20313	1
Relation	cluster-NILR20314	cluster-NILR20314	1
Relation	cluster-NILR20315	cluster-NILR20315	1
Relation	cluster-NILR20316	cluster-NILR20316	1
Relation	cluster-NILR20317	cluster-NILR20317	1
Relation	cluster-NILR20318	cluster-NILR20318	1
Relation	cluster-NILR20319	cluster-NILR20319	1
Relation	cluster-NILR20320	cluster-NILR20320	1
Relation	cluster-NILR20322	cluster-NILR20322	1
Event	cluster-NILV20310	cluster-NILV20310	1
Event	cluster-NILV20311	cluster-NILV20311	1
Event	cluster-NILV20312	cluster-NILV20312	1
Event	cluster-NILV20313	cluster-NILV20313	1
Event	cluster-NILV20314	cluster-NILV20314	5
Event	cluster-NILV20315	cluster-NILV20315	1
Event	cluster-NILV20316	cluster-NILV20316	1
Event	cluster-NILV20317	cluster-NILV20317	1
Event	cluster-NILV20318	cluster-NILV20318	1
