metatype	system_cluster	gold_cluster	similarity
Entity	cluster-NILE22160	cluster-NILE22160	1
Entity	cluster-NILE22161	cluster-NILE22161	3
Entity	cluster-NILE22162	cluster-NILE22162	1
Entity	cluster-NILE22163	cluster-NILE22163	1
Entity	cluster-NILE22164	cluster-NILE22164	3
Entity	cluster-NILE22165	cluster-NILE22165	3
Entity	cluster-NILE22166	cluster-NILE22166	6
Entity	cluster-NILE22167	cluster-NILE22167	2
Entity	cluster-NILE22168	cluster-NILE22168	1
Entity	cluster-NILE22169	cluster-NILE22169	1
Entity	cluster-NILE22170	cluster-NILE22170	2
Entity	cluster-NILE22171	cluster-NILE22171	1
Entity	cluster-NILE22172	cluster-NILE22172	2
Entity	cluster-NILE22173	cluster-NILE22173	1
Entity	cluster-NILE22174	cluster-NILE22174	1
Entity	cluster-NILE22175	cluster-NILE22175	11
Entity	cluster-NILE22176	cluster-NILE22176	3
Entity	cluster-NILE22177	cluster-NILE22177	1
Entity	cluster-NILE22178	cluster-NILE22178	2
Entity	cluster-NILE22179	cluster-NILE22179	1
Entity	cluster-NILE22180	cluster-NILE22180	2
Entity	cluster-NILE22181	cluster-NILE22181	1
Entity	cluster-NILE22182	cluster-NILE22182	1
Entity	cluster-NILE22183	cluster-NILE22183	1
Entity	cluster-NILE22184	cluster-NILE22184	4
Entity	cluster-NILE22185	cluster-NILE22185	2
Entity	cluster-NILE22186	cluster-NILE22186	1
Entity	cluster-NILE22187	cluster-NILE22187	1
Entity	cluster-NILE22188	cluster-NILE22188	1
Entity	cluster-NILE22189	cluster-NILE22189	2
Entity	cluster-NILE22190	cluster-NILE22190	1
Entity	cluster-NILE22191	cluster-NILE22191	1
Entity	cluster-NILE22192	cluster-NILE22192	1
Entity	cluster-NILE22193	cluster-NILE22193	1
Entity	cluster-NILE22194	cluster-NILE22194	1
Entity	cluster-NILE22195	cluster-NILE22195	4
Entity	cluster-NILE22196	cluster-NILE22196	1
Entity	cluster-NILE22197	cluster-NILE22197	1
Entity	cluster-NILE22198	cluster-NILE22198	2
Entity	cluster-NILE22199	cluster-NILE22199	1
Relation	cluster-NILR22182	cluster-NILR22182	1
Relation	cluster-NILR22183	cluster-NILR22183	1
Relation	cluster-NILR22184	cluster-NILR22184	1
Relation	cluster-NILR22185	cluster-NILR22185	1
Relation	cluster-NILR22186	cluster-NILR22186	1
Relation	cluster-NILR22187	cluster-NILR22187	1
Relation	cluster-NILR22189	cluster-NILR22189	1
Relation	cluster-NILR22190	cluster-NILR22190	1
Relation	cluster-NILR22191	cluster-NILR22191	1
Relation	cluster-NILR22192	cluster-NILR22192	1
Relation	cluster-NILR22193	cluster-NILR22193	1
Relation	cluster-NILR22194	cluster-NILR22194	1
Relation	cluster-NILR22195	cluster-NILR22195	1
Relation	cluster-NILR22196	cluster-NILR22196	1
Relation	cluster-NILR22197	cluster-NILR22197	1
Relation	cluster-NILR22198	cluster-NILR22198	1
Event	cluster-NILV22182	cluster-NILV22182	1
Event	cluster-NILV22183	cluster-NILV22183	17
Event	cluster-NILV22184	cluster-NILV22184	2
Event	cluster-NILV22185	cluster-NILV22185	2
Event	cluster-NILV22186	cluster-NILV22186	1
Event	cluster-NILV22187	cluster-NILV22187	1
Event	cluster-NILV22188	cluster-NILV22188	1
Event	cluster-NILV22189	cluster-NILV22189	1
Event	cluster-NILV22190	cluster-NILV22190	1
Event	cluster-NILV22191	cluster-NILV22191	1
Event	cluster-NILV22192	cluster-NILV22192	1
Event	cluster-NILV22193	cluster-NILV22193	1
