metatype	system_cluster	gold_cluster	similarity
Entity	cluster-NILE21300	cluster-NILE21300	1
Entity	cluster-NILE21301	cluster-NILE21301	1
Entity	cluster-NILE21302	cluster-NILE21302	1
Entity	cluster-NILE21303	cluster-NILE21303	1
Entity	cluster-NILE21304	cluster-NILE21304	1
Entity	cluster-NILE21305	cluster-NILE21305	1
Entity	cluster-NILE21306	cluster-NILE21306	1
Entity	cluster-NILE21307	cluster-NILE21307	1
Entity	cluster-NILE21308	cluster-NILE21308	1
Entity	cluster-NILE21309	cluster-NILE21309	1
Entity	cluster-NILE21310	cluster-NILE21310	1
Entity	cluster-NILE21311	cluster-NILE21311	1
Event	cluster-NILV21300	cluster-NILV21300	1
Event	cluster-NILV21301	cluster-NILV21301	2
Event	cluster-NILV21302	cluster-NILV21302	1
