metatype	system_cluster	gold_cluster	similarity
Entity	cluster-NILE21705	cluster-NILE21705	2
Entity	cluster-NILE21706	cluster-NILE21706	1
Entity	cluster-NILE21707	cluster-NILE21707	1
Entity	cluster-NILE21708	cluster-NILE21708	1
Entity	cluster-NILE21709	cluster-NILE21709	2
Entity	cluster-NILE21710	cluster-NILE21710	2
Entity	cluster-NILE21711	cluster-NILE21711	1
Entity	cluster-NILE21712	cluster-NILE21712	1
Entity	cluster-NILE21713	cluster-NILE21713	1
Entity	cluster-NILE21714	cluster-NILE21714	1
Entity	cluster-NILE21715	cluster-NILE21715	1
Entity	cluster-NILE21716	cluster-NILE21716	1
Entity	cluster-NILE21717	cluster-NILE21717	5
Entity	cluster-NILE21718	cluster-NILE21718	2
Entity	cluster-NILE21719	cluster-NILE21719	1
Entity	cluster-NILE21720	cluster-NILE21720	6
Entity	cluster-NILE21721	cluster-NILE21721	1
Entity	cluster-NILE21722	cluster-NILE21722	3
Entity	cluster-NILE21723	cluster-NILE21723	1
Entity	cluster-NILE21724	cluster-NILE21724	1
Entity	cluster-NILE21725	cluster-NILE21725	1
Entity	cluster-NILE21726	cluster-NILE21726	13
Entity	cluster-NILE21727	cluster-NILE21727	3
Entity	cluster-NILE21728	cluster-NILE21728	3
Entity	cluster-NILE21729	cluster-NILE21729	1
Entity	cluster-NILE21730	cluster-NILE21730	4
Entity	cluster-NILE21731	cluster-NILE21731	1
Entity	cluster-NILE21732	cluster-NILE21732	3
Entity	cluster-NILE21733	cluster-NILE21733	1
Entity	cluster-NILE21734	cluster-NILE21734	2
Entity	cluster-NILE21735	cluster-NILE21735	1
Entity	cluster-NILE21736	cluster-NILE21736	1
Entity	cluster-NILE21737	cluster-NILE21737	2
Entity	cluster-NILE21738	cluster-NILE21738	1
Entity	cluster-NILE21739	cluster-NILE21739	14
Entity	cluster-NILE21740	cluster-NILE21740	7
Entity	cluster-NILE21741	cluster-NILE21741	4
Entity	cluster-NILE21742	cluster-NILE21742	1
Entity	cluster-NILE21743	cluster-NILE21743	7
Entity	cluster-NILE21744	cluster-NILE21744	3
Entity	cluster-NILE21745	cluster-NILE21745	1
Entity	cluster-NILE21746	cluster-NILE21746	3
Entity	cluster-NILE21747	cluster-NILE21747	3
Entity	cluster-NILE21748	cluster-NILE21748	1
Entity	cluster-NILE21749	cluster-NILE21749	1
Entity	cluster-NILE21750	cluster-NILE21750	1
Entity	cluster-NILE21751	cluster-NILE21751	1
Entity	cluster-NILE21752	cluster-NILE21752	2
Entity	cluster-NILE21753	cluster-NILE21753	1
Entity	cluster-NILE21754	cluster-NILE21754	1
Entity	cluster-NILE21755	cluster-NILE21755	1
Entity	cluster-NILE21756	cluster-NILE21756	1
Entity	cluster-NILE21757	cluster-NILE21757	1
Relation	cluster-NILR21705	cluster-NILR21705	1
Relation	cluster-NILR21706	cluster-NILR21706	1
Relation	cluster-NILR21707	cluster-NILR21707	1
Relation	cluster-NILR21708	cluster-NILR21708	1
Relation	cluster-NILR21709	cluster-NILR21709	1
Relation	cluster-NILR21710	cluster-NILR21710	1
Relation	cluster-NILR21711	cluster-NILR21711	1
Relation	cluster-NILR21712	cluster-NILR21712	1
Relation	cluster-NILR21713	cluster-NILR21713	1
Relation	cluster-NILR21714	cluster-NILR21714	1
Relation	cluster-NILR21715	cluster-NILR21715	1
Relation	cluster-NILR21716	cluster-NILR21716	1
Relation	cluster-NILR21717	cluster-NILR21717	1
Relation	cluster-NILR21718	cluster-NILR21718	1
Relation	cluster-NILR21719	cluster-NILR21719	1
Relation	cluster-NILR21720	cluster-NILR21720	1
Relation	cluster-NILR21721	cluster-NILR21721	1
Relation	cluster-NILR21722	cluster-NILR21722	1
Relation	cluster-NILR21723	cluster-NILR21723	1
Relation	cluster-NILR21724	cluster-NILR21724	1
Relation	cluster-NILR21725	cluster-NILR21725	1
Event	cluster-NILV21705	cluster-NILV21705	4
Event	cluster-NILV21706	cluster-NILV21706	1
Event	cluster-NILV21707	cluster-NILV21707	1
Event	cluster-NILV21708	cluster-NILV21708	5
Event	cluster-NILV21709	cluster-NILV21709	3
Event	cluster-NILV21710	cluster-NILV21710	1
Event	cluster-NILV21711	cluster-NILV21711	2
Event	cluster-NILV21712	cluster-NILV21712	1
Event	cluster-NILV21713	cluster-NILV21713	1
Event	cluster-NILV21714	cluster-NILV21714	3
Event	cluster-NILV21715	cluster-NILV21715	1
Event	cluster-NILV21716	cluster-NILV21716	1
