metatype	system_cluster	gold_cluster	similarity
Entity	cluster-NILE20540	cluster-NILE20540	10
Entity	cluster-NILE20541	cluster-NILE20541	4
Entity	cluster-NILE20542	cluster-NILE20542	30
Entity	cluster-NILE20543	cluster-NILE20543	2
Entity	cluster-NILE20544	cluster-NILE20544	3
Entity	cluster-NILE20545	cluster-NILE20545	1
Entity	cluster-NILE20546	cluster-NILE20546	2
Entity	cluster-NILE20547	cluster-NILE20547	2
Entity	cluster-NILE20548	cluster-NILE20548	1
Entity	cluster-NILE20549	cluster-NILE20549	1
Entity	cluster-NILE20550	cluster-NILE20550	1
Entity	cluster-NILE20551	cluster-NILE20551	1
Entity	cluster-NILE20552	cluster-NILE20552	1
Entity	cluster-NILE20553	cluster-NILE20553	1
Entity	cluster-NILE20554	cluster-NILE20554	1
Entity	cluster-NILE20555	cluster-NILE20555	1
Entity	cluster-NILE20556	cluster-NILE20556	2
Entity	cluster-NILE20557	cluster-NILE20557	1
Entity	cluster-NILE20558	cluster-NILE20558	2
Entity	cluster-NILE20559	cluster-NILE20559	1
Entity	cluster-NILE20560	cluster-NILE20560	1
Entity	cluster-NILE20561	cluster-NILE20561	1
Entity	cluster-NILE20562	cluster-NILE20562	1
Entity	cluster-NILE20563	cluster-NILE20563	4
Entity	cluster-NILE20564	cluster-NILE20564	1
Entity	cluster-NILE20565	cluster-NILE20565	1
Entity	cluster-NILE20566	cluster-NILE20566	1
Entity	cluster-NILE20567	cluster-NILE20567	2
Entity	cluster-NILE20568	cluster-NILE20568	1
Entity	cluster-NILE20569	cluster-NILE20569	6
Entity	cluster-NILE20570	cluster-NILE20570	7
Entity	cluster-NILE20571	cluster-NILE20571	4
Entity	cluster-NILE20572	cluster-NILE20572	1
Entity	cluster-NILE20573	cluster-NILE20573	3
Entity	cluster-NILE20574	cluster-NILE20574	1
Entity	cluster-NILE20575	cluster-NILE20575	2
Entity	cluster-NILE20576	cluster-NILE20576	1
Entity	cluster-NILE20577	cluster-NILE20577	4
Entity	cluster-NILE20578	cluster-NILE20578	1
Entity	cluster-NILE20579	cluster-NILE20579	1
Entity	cluster-NILE20580	cluster-NILE20580	1
Entity	cluster-NILE20581	cluster-NILE20581	8
Entity	cluster-NILE20582	cluster-NILE20582	1
Entity	cluster-NILE20583	cluster-NILE20583	4
Entity	cluster-NILE20584	cluster-NILE20584	1
Entity	cluster-NILE20585	cluster-NILE20585	1
Entity	cluster-NILE20586	cluster-NILE20586	1
Entity	cluster-NILE20587	cluster-NILE20587	1
Entity	cluster-NILE20588	cluster-NILE20588	1
Entity	cluster-NILE20589	cluster-NILE20589	1
Entity	cluster-NILE20590	cluster-NILE20590	1
Entity	cluster-NILE20591	cluster-NILE20591	4
Entity	cluster-NILE20592	cluster-NILE20592	1
Entity	cluster-NILE20593	cluster-NILE20593	2
Entity	cluster-NILE20594	cluster-NILE20594	1
Relation	cluster-NILR20540	cluster-NILR20540	1
Relation	cluster-NILR20541	cluster-NILR20541	1
Relation	cluster-NILR20542	cluster-NILR20542	1
Relation	cluster-NILR20543	cluster-NILR20543	1
Relation	cluster-NILR20544	cluster-NILR20544	1
Event	cluster-NILV20540	cluster-NILV20540	1
Event	cluster-NILV20541	cluster-NILV20541	2
Event	cluster-NILV20542	cluster-NILV20542	2
Event	cluster-NILV20543	cluster-NILV20543	1
Event	cluster-NILV20546	cluster-NILV20546	1
Event	cluster-NILV20547	cluster-NILV20547	1
Event	cluster-NILV20548	cluster-NILV20548	1
Event	cluster-NILV20549	cluster-NILV20549	1
Event	cluster-NILV20550	cluster-NILV20550	1
Event	cluster-NILV20551	cluster-NILV20551	1
Event	cluster-NILV20552	cluster-NILV20552	1
Event	cluster-NILV20553	cluster-NILV20553	1
Event	cluster-NILV20554	cluster-NILV20554	1
Event	cluster-NILV20555	cluster-NILV20555	3
Event	cluster-NILV20557	cluster-NILV20557	1
Event	cluster-NILV20558	cluster-NILV20558	1
Event	cluster-NILV20559	cluster-NILV20559	1
Event	cluster-NILV20560	cluster-NILV20560	1
Event	cluster-NILV20562	cluster-NILV20562	1
Event	cluster-NILV20563	cluster-NILV20563	1
