ClaimID	JustificationNum	EdgeID	EdgeLabel	IsEdgeNegated	EvtRelMetatype	EvtRelType	EvtRelClusterID	IsEvtRelNegated	ObjMetatype	ObjectType	ObjClusterID	IsObjNegated	ObjectHandle	DocID	SubjectJustification	PredicateJustification	ArgumentJustification
CLL0C0492UF.000762	1	cluster-NILCRML0C0492UF.001811::A0::cluster-NILCEML0C0492UF.001736	A0	NotNegated	Relation	P551	cluster-NILCRML0C0492UF.001811	NotNegated	Entity	Q215627	cluster-NILCEML0C0492UF.001736	NotNegated	the Chinese public	L0C0492UF	NULL	L0C0492UF:L0C04958V:(1,0)-(7480,0)	L0C0492UF:L0C04958V:(1,0)-(7480,0)
CLL0C0492UF.000762	2	cluster-NILCRML0C0492UF.001811::A1::cluster-NILCEML0C0492UF.001236	A1	NotNegated	Relation	P551	cluster-NILCRML0C0492UF.001811	NotNegated	Entity	Q6256	cluster-NILCEML0C0492UF.001236	NotNegated	China	L0C0492UF	NULL	L0C0492UF:L0C04958V:(1,0)-(7480,0)	L0C0492UF:L0C04958V:(1,0)-(7480,0)
CLL0C0492UF.000762	3	cluster-NILCRML0C0492UF.003212::A1::cluster-NILCEML0C0492UF.003207	A1	NotNegated	Relation	P108	cluster-NILCRML0C0492UF.003212	NotNegated	Entity	Q43229	cluster-NILCEML0C0492UF.003207	NotNegated	Fudan University	L0C0492UF	NULL	L0C0492UF:L0C04958V:(1,0)-(7480,0)	L0C0492UF:L0C04958V:(1,0)-(7480,0)
CLL0C0492UF.000762	4	cluster-NILCRML0C0492UF.003212::A0::cluster-NILCEML0C0492UF.001694	A0	NotNegated	Relation	P108	cluster-NILCRML0C0492UF.003212	NotNegated	Entity	Q107711	cluster-NILCEML0C0492UF.001694	NotNegated	Larry Romanoff	L0C0492UF	NULL	L0C0492UF:L0C04958V:(1,0)-(7480,0)	L0C0492UF:L0C04958V:(1,0)-(7480,0)
CLL0C0492UF.000762	5	cluster-NILCRML0C0492UF.003252::A1::cluster-NILCEML0C0492UF.003202	A1	NotNegated	Relation	P159	cluster-NILCRML0C0492UF.003252	NotNegated	Entity	Q515	cluster-NILCEML0C0492UF.003202	NotNegated	Shanghai	L0C0492UF	NULL	L0C0492UF:L0C04958V:(1,0)-(7480,0)	L0C0492UF:L0C04958V:(1,0)-(7480,0)
CLL0C0492UF.000762	6	cluster-NILCRML0C0492UF.003252::A0::cluster-NILCEML0C0492UF.003207	A0	NotNegated	Relation	P159	cluster-NILCRML0C0492UF.003252	NotNegated	Entity	Q43229	cluster-NILCEML0C0492UF.003207	NotNegated	Fudan University	L0C0492UF	NULL	L0C0492UF:L0C04958V:(1,0)-(7480,0)	L0C0492UF:L0C04958V:(1,0)-(7480,0)
CLL0C0492UF.000762	7	cluster-NILCVML0C0492UF.001517::A1_ppt_theme_disease::cluster-NILCEML0C0492UF.001545	A1_ppt_theme_disease	NotNegated	Event	Q3241045	cluster-NILCVML0C0492UF.001517	NotNegated	Entity	Q12136	cluster-NILCEML0C0492UF.001545	NotNegated	Covid-19	L0C0492UF	NULL	L0C0492UF:L0C04958V:(1,0)-(7480,0)	L0C0492UF:L0C04958V:(1,0)-(7480,0)
CLL0C0492UF.000762	8	cluster-NILCVML0C0492UF.002714::A1_gol_destination_thing_becoming_infected::cluster-NILCEML0C0492UF.001736	A1_gol_destination_thing_becoming_infected	NotNegated	Event	Q166231	cluster-NILCVML0C0492UF.002714	NotNegated	Entity	Q215627	cluster-NILCEML0C0492UF.001736	NotNegated	the Chinese public	L0C0492UF	NULL	L0C0492UF:L0C04958V:(1,0)-(7480,0)	L0C0492UF:L0C04958V:(1,0)-(7480,0)
CLL0C0492UF.000762	9	cluster-NILCVML0C0492UF.002714::A2_ppt_theme_infectant::cluster-NILCEML0C0492UF.001226	A2_ppt_theme_infectant	NotNegated	Event	Q166231	cluster-NILCVML0C0492UF.002714	NotNegated	Entity	EMPTY_TBD	cluster-NILCEML0C0492UF.001226	NotNegated	Coronavirus	L0C0492UF	NULL	L0C0492UF:L0C04958V:(1,0)-(7480,0)	L0C0492UF:L0C04958V:(1,0)-(7480,0)
CLL0C0492UF.000762	10	cluster-NILCVML0C0492UF.002739::A0_pag_agent_first_communicator::cluster-NILCEML0C0492UF.001694	A0_pag_agent_first_communicator	NotNegated	Event	Q11024	cluster-NILCVML0C0492UF.002739	NotNegated	Entity	Q107711	cluster-NILCEML0C0492UF.001694	NotNegated	Larry Romanoff	L0C0492UF	NULL	L0C0492UF:L0C04958V:(1,0)-(7480,0)	L0C0492UF:L0C04958V:(1,0)-(7480,0)
