?cluster	?metatype	?type	?mention_span	?is_negated	?type_statement_confidence	?cluster_membership_confidence	?mention_type_justification_confidence
cluster-NILE30056	Entity	Q756	L0C0499MZ:L0C0499NL:(711,205)-(945,235)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30056	Entity	Q756	L0C0499MZ:L0C0499NL:(714,217)-(752,236)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30056	Entity	Q756	L0C0499MZ:L0C0499NL:(715,205)-(945,235)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30056	Entity	Q756	L0C0499MZ:L0C0499NL:(715,205)-(947,238)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30056	Entity	Q756	L0C0499MZ:L0C0499NL:(719,55)-(763,73)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30056	Entity	Q756	L0C0499MZ:L0C0499NL:(725,368)-(817,385)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30056	Entity	Q756	L0C0499MZ:L0C0499NL:(762,216)-(830,237)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30056	Entity	Q756	L0C0499MZ:L0C0499NL:(775,54)-(848,72)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30056	Entity	Q756	L0C0499MZ:L0C0499NL:(880,369)-(927,384)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30056	Entity	Q756	L0C0499MZ:L0C0499NT:(223,63)-(298,75)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30056	Entity	Q756	L0C0499MZ:L0C0499NT:(223,68)-(237,75)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30056	Entity	Q756	L0C0499MZ:L0C0499NT:(224,16)-(240,23)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30056	Entity	Q756	L0C0499MZ:L0C0499NT:(224,62)-(296,74)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILE30056	Entity	Q756	L0C0499MZ:L0C0499NT:(224,62)-(297,74)	NotNegated	"1.0"	"1.0"	"1.0"
