metatype	system_cluster	gold_cluster	system_mention	gold_mention	similarity
Entity	cluster-NILE30025	cluster-NILQE31510	L0C04960U:L0C049DTH:(1,0)-(9,0)	L0C04960U:L0C049DTH:(1,0)-(9,0)	1.0
Entity	cluster-NILE30025	cluster-NILQE31510	L0C04960U:L0C049DTH:(2419,0)-(2427,0)	L0C04960U:L0C049DTH:(2419,0)-(2427,0)	1.0
Entity	cluster-NILE30025	cluster-NILQE31510	L0C04960U:L0C049DTH:(250,0)-(258,0)	L0C04960U:L0C049DTH:(250,0)-(258,0)	1.0
Entity	cluster-NILE30025	cluster-NILQE31510	L0C04960U:L0C049DTH:(2630,0)-(2652,0)	L0C04960U:L0C049DTH:(2630,0)-(2652,0)	1.0
Entity	cluster-NILE30031	cluster-NILQE31561	L0C04960U:L0C049DTH:(1525,0)-(1534,0)	L0C04960U:L0C049DTH:(1525,0)-(1534,0)	1.0
Entity	cluster-NILE30031	cluster-NILQE31561	L0C04960U:L0C049DTH:(262,0)-(270,0)	L0C04960U:L0C049DTH:(262,0)-(270,0)	1.0
Entity	cluster-NILE30031	cluster-NILQE31561	L0C04960U:L0C049DTH:(3428,0)-(3437,0)	L0C04960U:L0C049DTH:(3428,0)-(3437,0)	1.0
Entity	cluster-NILE30028	cluster-NILQE31593	L0C04960U:L0C049DTH:(13,0)-(18,0)	L0C04960U:L0C049DTH:(13,0)-(18,0)	1.0
Entity	cluster-NILE30028	cluster-NILQE31593	L0C04960U:L0C049DTH:(233,0)-(247,0)	L0C04960U:L0C049DTH:(233,0)-(247,0)	1.0
Entity	cluster-NILE30028	cluster-NILQE31593	L0C04960U:L0C049DTH:(2827,0)-(2841,0)	L0C04960U:L0C049DTH:(2827,0)-(2841,0)	1.0
Entity	cluster-NILE30028	cluster-NILQE31593	L0C04960U:L0C049DTH:(2845,0)-(2920,0)	L0C04960U:L0C049DTH:(2845,0)-(2920,0)	1.0
Entity	cluster-NILE30028	cluster-NILQE31593	L0C04960U:L0C049DTH:(2863,0)-(2869,0)	L0C04960U:L0C049DTH:(2863,0)-(2869,0)	1.0
Entity	cluster-NILE30028	cluster-NILQE31593	L0C04960U:L0C049DTH:(2971,0)-(2985,0)	L0C04960U:L0C049DTH:(2971,0)-(2985,0)	1.0
Entity	cluster-NILE30029	cluster-NILQE31662	L0C04960U:L0C049DTH:(1310,0)-(1317,0)	L0C04960U:L0C049DTH:(1310,0)-(1317,0)	1.0
Entity	cluster-NILE30029	cluster-NILQE31662	L0C04960U:L0C049DTH:(181,0)-(189,0)	L0C04960U:L0C049DTH:(181,0)-(189,0)	1.0
Entity	cluster-NILE30029	cluster-NILQE31662	L0C04960U:L0C049DTH:(3170,0)-(3188,0)	L0C04960U:L0C049DTH:(3170,0)-(3188,0)	1.0
Entity	cluster-NILE30029	cluster-NILQE31662	L0C04960U:L0C049DTH:(3322,0)-(3335,0)	L0C04960U:L0C049DTH:(3322,0)-(3335,0)	1.0
Entity	cluster-NILE30029	cluster-NILQE31662	L0C04960U:L0C049DTH:(3824,0)-(3832,0)	L0C04960U:L0C049DTH:(3824,0)-(3832,0)	1.0
Entity	cluster-NILE30029	cluster-NILQE31662	L0C04960U:L0C049DTH:(659,0)-(666,0)	L0C04960U:L0C049DTH:(659,0)-(666,0)	1.0
Entity	cluster-NILE30046	cluster-NILQE31711	L0C04960U:L0C049DTH:(2666,0)-(2679,0)	L0C04960U:L0C049DTH:(2666,0)-(2679,0)	1.0
Entity	cluster-NILE30046	cluster-NILQE31711	L0C04960U:L0C049DTH:(2765,0)-(2767,0)	L0C04960U:L0C049DTH:(2765,0)-(2767,0)	1.0
Entity	cluster-NILE30046	cluster-NILQE31711	L0C04960U:L0C049DTH:(3076,0)-(3078,0)	L0C04960U:L0C049DTH:(3076,0)-(3078,0)	1.0
Entity	cluster-NILE30046	cluster-NILQE31711	L0C04960U:L0C049DTH:(3226,0)-(3239,0)	L0C04960U:L0C049DTH:(3226,0)-(3239,0)	1.0
Entity	cluster-NILE30033	cluster-NILQE31834	L0C04960U:L0C049DTH:(1097,0)-(1117,0)	L0C04960U:L0C049DTH:(1097,0)-(1117,0)	1.0
Entity	cluster-NILE30033	cluster-NILQE31834	L0C04960U:L0C049DTH:(1224,0)-(1236,0)	L0C04960U:L0C049DTH:(1224,0)-(1236,0)	1.0
Entity	cluster-NILE30033	cluster-NILQE31834	L0C04960U:L0C049DTH:(1350,0)-(1352,0)	L0C04960U:L0C049DTH:(1350,0)-(1352,0)	1.0
Entity	cluster-NILE30033	cluster-NILQE31834	L0C04960U:L0C049DTH:(2390,0)-(2404,0)	L0C04960U:L0C049DTH:(2390,0)-(2404,0)	1.0
Entity	cluster-NILE30033	cluster-NILQE31834	L0C04960U:L0C049DTH:(3192,0)-(3205,0)	L0C04960U:L0C049DTH:(3192,0)-(3205,0)	1.0
Entity	cluster-NILE30033	cluster-NILQE31834	L0C04960U:L0C049DTH:(3339,0)-(3359,0)	L0C04960U:L0C049DTH:(3339,0)-(3359,0)	1.0
Entity	cluster-NILE30033	cluster-NILQE31834	L0C04960U:L0C049DTH:(3836,0)-(3849,0)	L0C04960U:L0C049DTH:(3836,0)-(3849,0)	1.0
Entity	cluster-NILE30033	cluster-NILQE31834	L0C04960U:L0C049DTH:(683,0)-(705,0)	L0C04960U:L0C049DTH:(683,0)-(705,0)	1.0
Entity	cluster-NILE30033	cluster-NILQE31834	L0C04960U:L0C049DTH:(740,0)-(741,0)	L0C04960U:L0C049DTH:(740,0)-(741,0)	1.0
Entity	cluster-NILE30033	cluster-NILQE31834	L0C04960U:L0C049DTH:(788,0)-(790,0)	L0C04960U:L0C049DTH:(788,0)-(790,0)	1.0
Entity	cluster-NILE30034	cluster-NILQE31917	L0C04960U:L0C049DTH:(1271,0)-(1274,0)	L0C04960U:L0C049DTH:(1271,0)-(1274,0)	1.0
Entity	cluster-NILE30034	cluster-NILQE31917	L0C04960U:L0C049DTH:(718,0)-(721,0)	L0C04960U:L0C049DTH:(718,0)-(721,0)	1.0
Entity	cluster-NILE30035	cluster-NILQE31942	L0C04960U:L0C049DTH:(1258,0)-(1263,0)	L0C04960U:L0C049DTH:(1258,0)-(1263,0)	1.0
Entity	cluster-NILE30035	cluster-NILQE31942	L0C04960U:L0C049DTH:(724,0)-(729,0)	L0C04960U:L0C049DTH:(724,0)-(729,0)	1.0
Entity	cluster-NILE30036	cluster-NILQE31968	L0C04960U:L0C049DTH:(1277,0)-(1281,0)	L0C04960U:L0C049DTH:(1277,0)-(1281,0)	1.0
Entity	cluster-NILE30036	cluster-NILQE31968	L0C04960U:L0C049DTH:(733,0)-(737,0)	L0C04960U:L0C049DTH:(733,0)-(737,0)	1.0
Entity	cluster-NILE30040	cluster-NILQE32033	L0C04960U:L0C049DTH:(1266,0)-(1268,0)	L0C04960U:L0C049DTH:(1266,0)-(1268,0)	1.0
Entity	cluster-NILE30038	cluster-NILQE32081	L0C04960U:L0C049DTH:(903,0)-(945,0)	L0C04960U:L0C049DTH:(903,0)-(945,0)	1.0
Entity	cluster-NILE30038	cluster-NILQE32081	L0C04960U:L0C049DTH:(910,0)-(916,0)	L0C04960U:L0C049DTH:(910,0)-(916,0)	1.0
Entity	cluster-NILE30055	cluster-NILQE32114	L0C04960U:L0C049DTH:(3208,0)-(3219,0)	L0C04960U:L0C049DTH:(3208,0)-(3219,0)	1.0
Entity	cluster-NILE30052	cluster-NILQE32126	L0C04960U:L0C049DTH:(3854,0)-(3866,0)	L0C04960U:L0C049DTH:(3854,0)-(3866,0)	1.0
Entity	cluster-NILE30052	cluster-NILQE32126	L0C04960U:L0C049DTH:(3906,0)-(3908,0)	L0C04960U:L0C049DTH:(3906,0)-(3908,0)	1.0
Entity	cluster-NILE30050	cluster-NILQE32153	L0C04960U:L0C049DTH:(2749,0)-(2756,0)	L0C04960U:L0C049DTH:(2749,0)-(2756,0)	1.0
Entity	cluster-NILE30050	cluster-NILQE32153	L0C04960U:L0C049DTH:(3290,0)-(3294,0)	L0C04960U:L0C049DTH:(3290,0)-(3294,0)	1.0
Entity	cluster-NILE30051	cluster-NILQE32186	L0C04960U:L0C049DTH:(3788,0)-(3793,0)	L0C04960U:L0C049DTH:(3788,0)-(3793,0)	1.0
Entity	cluster-NILE30045	cluster-NILQE32202	L0C04960U:L0C049DTH:(2588,0)-(2607,0)	L0C04960U:L0C049DTH:(2588,0)-(2607,0)	1.0
Entity	cluster-NILE30043	cluster-NILQE32243	L0C04960U:L0C049DTH:(1655,0)-(1680,0)	L0C04960U:L0C049DTH:(1655,0)-(1680,0)	1.0
Entity	cluster-NILE30043	cluster-NILQE32243	L0C04960U:L0C049DTH:(1748,0)-(1750,0)	L0C04960U:L0C049DTH:(1748,0)-(1750,0)	1.0
Entity	cluster-NILE30043	cluster-NILQE32243	L0C04960U:L0C049DTH:(2168,0)-(2200,0)	L0C04960U:L0C049DTH:(2168,0)-(2200,0)	1.0
Entity	cluster-NILE30043	cluster-NILQE32243	L0C04960U:L0C049DTH:(2275,0)-(2293,0)	L0C04960U:L0C049DTH:(2275,0)-(2293,0)	1.0
Entity	cluster-NILE30037	cluster-NILQE32347	L0C04960U:L0C049DTH:(2211,0)-(2216,0)	L0C04960U:L0C049DTH:(2211,0)-(2216,0)	1.0
Entity	cluster-NILE30037	cluster-NILQE32347	L0C04960U:L0C049DTH:(1547,0)-(1552,0)	L0C04960U:L0C049DTH:(1547,0)-(1552,0)	1.0
Entity	cluster-NILE30037	cluster-NILQE32347	L0C04960U:L0C049DTH:(1818,0)-(1824,0)	L0C04960U:L0C049DTH:(1818,0)-(1824,0)	1.0
Entity	cluster-NILE30037	cluster-NILQE32347	L0C04960U:L0C049DTH:(871,0)-(876,0)	L0C04960U:L0C049DTH:(871,0)-(876,0)	1.0
Entity	cluster-NILE30054	cluster-NILQE32416	L0C04960U:L0C049DTH:(3082,0)-(3084,0)	L0C04960U:L0C049DTH:(3082,0)-(3084,0)	1.0
Entity	cluster-NILE30049	cluster-NILQE32430	L0C04960U:L0C049DTH:(3090,0)-(3097,0)	L0C04960U:L0C049DTH:(3090,0)-(3097,0)	1.0
Entity	cluster-NILE30030	cluster-NILQE32448	L0C04960U:L0C049DTH:(193,0)-(215,0)	L0C04960U:L0C049DTH:(193,0)-(215,0)	1.0
Entity	cluster-NILE30041	cluster-NILQE32465	L0C04960U:L0C049DTH:(1292,0)-(1306,0)	L0C04960U:L0C049DTH:(1292,0)-(1306,0)	1.0
Entity	cluster-NILE30042	cluster-NILQE32485	L0C04960U:L0C049DTH:(1328,0)-(1347,0)	L0C04960U:L0C049DTH:(1328,0)-(1347,0)	1.0
Relation	cluster-NILR30012	cluster-NILQR30582	L0C04960U:L0C049DTH:(1194,0)-(1195,0)	L0C04960U:L0C049DTH:(1194,0)-(1195,0)	1.0
