EdgeNum	EdgeID	EdgeLabel	IsEdgeNegated	EvtRelMetatype	EvtRelUniqueID	EvtRelClusterID	IsEvtRelNegated	ObjMetatype	ObjectType	ObjClusterID	IsObjNegated	ObjectHandle	DocID	SubjectJustification	PredicateJustification	ArgumentJustification
1	cluster-NILCVML0C04AJNP.002310::A1_ppt___complied_with::cluster-NILCEML0C04AJNP.002082	A1_ppt___complied_with	NotNegated	Event	cluster-NILCVML0C04AJNP.002310::Q1399332	cluster-NILCVML0C04AJNP.002310	NotNegated	Entity	Q15621286	cluster-NILCEML0C04AJNP.002082	NotNegated	mask mandate for indoors spaces	L0C04AJNP	NULL	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)
2	cluster-NILCVML0C04AJNP.002310::AM_loc__location::cluster-NILCEML0C04AJNP.002092	AM_loc__location	NotNegated	Event	cluster-NILCVML0C04AJNP.002310::Q1399332	cluster-NILCVML0C04AJNP.002310	NotNegated	Entity	Q27096235	cluster-NILCEML0C04AJNP.002092	NotNegated	indoors	L0C04AJNP	NULL	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)
3	cluster-NILCVML0C04AJNP.002554::A0_pag_pivot_wearer::cluster-NILCEML0C04AJNP.002097	A0_pag_pivot_wearer	NotNegated	Event	cluster-NILCVML0C04AJNP.002554::P3828	cluster-NILCVML0C04AJNP.002554	NotNegated	Entity	Q215627	cluster-NILCEML0C04AJNP.002097	NotNegated	people	L0C04AJNP	NULL	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)
4	cluster-NILCVML0C04AJNP.002554::EMPTY_REF::cluster-NILCEML0C04AJNP.003010	EMPTY_REF	NotNegated	Event	cluster-NILCVML0C04AJNP.002554::P3828	cluster-NILCVML0C04AJNP.002554	NotNegated	Entity	Q4936952	cluster-NILCEML0C04AJNP.003010	NotNegated	nose	L0C04AJNP	NULL	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)
5	cluster-NILCVML0C04AJNP.002554::A1_ppt_theme_clothing::cluster-NILCEML0C04AJNP.002087	A1_ppt_theme_clothing	NotNegated	Event	cluster-NILCVML0C04AJNP.002554::P3828	cluster-NILCVML0C04AJNP.002554	NotNegated	Entity	Q161524	cluster-NILCEML0C04AJNP.002087	NotNegated	masks	L0C04AJNP	NULL	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)
6	cluster-NILCVML0C04AJNP.002554::EMPTY_REF::cluster-NILCEML0C04AJNP.003015	EMPTY_REF	NotNegated	Event	cluster-NILCVML0C04AJNP.002554::P3828	cluster-NILCVML0C04AJNP.002554	NotNegated	Entity	Q4936952	cluster-NILCEML0C04AJNP.003015	NotNegated	mouth	L0C04AJNP	NULL	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)
7	cluster-NILCVML0C04AJNP.002574::A0_pag_agent_first_communicator::cluster-NILCEML0C04AJNP.002112	A0_pag_agent_first_communicator	NotNegated	Event	cluster-NILCVML0C04AJNP.002574::Q11024	cluster-NILCVML0C04AJNP.002574	NotNegated	Entity	Q11974939	cluster-NILCEML0C04AJNP.002112	NotNegated	health professionals	L0C04AJNP	NULL	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)
8	cluster-NILCVML0C04AJNP.002648::A0_pag_agent_asker::cluster-NILCEML0C04AJNP.002147	A0_pag_agent_asker	NotNegated	Event	cluster-NILCVML0C04AJNP.002648::Q22445448	cluster-NILCVML0C04AJNP.002648	NotNegated	Entity	Q167037	cluster-NILCEML0C04AJNP.002147	NotNegated	Target org	L0C04AJNP	NULL	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)
9	cluster-NILCVML0C04AJNP.002668::A0_pag_agent_asker::cluster-NILCEML0C04AJNP.002152	A0_pag_agent_asker	NotNegated	Event	cluster-NILCVML0C04AJNP.002668::Q22445448	cluster-NILCVML0C04AJNP.002668	NotNegated	Entity	Q167037	cluster-NILCEML0C04AJNP.002152	NotNegated	Walmart org	L0C04AJNP	NULL	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)
10	cluster-NILCVML0C04AJNP.002688::A0_pag_agent_asker::cluster-NILCEML0C04AJNP.002162	A0_pag_agent_asker	NotNegated	Event	cluster-NILCVML0C04AJNP.002688::Q22445448	cluster-NILCVML0C04AJNP.002688	NotNegated	Entity	Q167037	cluster-NILCEML0C04AJNP.002162	NotNegated	Kroger org	L0C04AJNP	NULL	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)
