query_id	depth
AIDA_TA1_GR_2019_0001	20
AIDA_TA1_GR_2019_0002	20
AIDA_TA1_GR_2019_0003	20
AIDA_TA1_GR_2019_0004	20
AIDA_TA1_GR_2019_0005	20
AIDA_TA1_GR_2019_0006	20
AIDA_TA1_GR_2019_0007	20
AIDA_TA1_GR_2019_0008	20
AIDA_TA1_GR_2019_0009	20
AIDA_TA1_GR_2019_0010	20
AIDA_TA1_GR_2019_0011	20
AIDA_TA1_GR_2019_0012	20
AIDA_TA1_GR_2019_0013	20
AIDA_TA1_GR_2019_0014	20
AIDA_TA1_GR_2019_0015	20
AIDA_TA1_GR_2019_0016	20
AIDA_TA1_GR_2019_0017	20
AIDA_TA1_GR_2019_0018	20
AIDA_TA1_GR_2019_0019	20
AIDA_TA1_GR_2019_0020	20
AIDA_TA1_GR_2019_0021	20
AIDA_TA1_GR_2019_0022	20
AIDA_TA1_GR_2019_0023	20
AIDA_TA1_GR_2019_0024	20
AIDA_TA1_GR_2019_0025	20
AIDA_TA1_GR_2019_0026	20
AIDA_TA1_GR_2019_0027	20
AIDA_TA1_GR_2019_0028	20
AIDA_TA1_GR_2019_0029	20
AIDA_TA1_GR_2019_0030	20
AIDA_TA1_GR_2019_0031	20
AIDA_TA1_GR_2019_0032	20
AIDA_TA1_GR_2019_0033	20
AIDA_TA1_GR_2019_0034	20
AIDA_TA1_GR_2019_0035	20
AIDA_TA1_GR_2019_0036	20
AIDA_TA1_GR_2019_0037	20
AIDA_TA1_GR_2019_0038	20
AIDA_TA1_GR_2019_0039	20
AIDA_TA1_GR_2019_0040	20
AIDA_TA1_GR_2019_0041	20
AIDA_TA1_GR_2019_0042	20
AIDA_TA1_GR_2019_0043	20
AIDA_TA1_GR_2019_0044	20
AIDA_TA1_GR_2019_0045	20
AIDA_TA1_GR_2019_0046	20
AIDA_TA1_GR_2019_0047	20
AIDA_TA1_GR_2019_0048	20
AIDA_TA1_GR_2019_0049	20
AIDA_TA1_GR_2019_0050	20
AIDA_TA1_GR_2019_0051	20
AIDA_TA1_GR_2019_0052	20
AIDA_TA1_GR_2019_0053	20
AIDA_TA1_GR_2019_0054	20
AIDA_TA1_GR_2019_0055	20
AIDA_TA1_GR_2019_0056	20
AIDA_TA1_GR_2019_0057	20
AIDA_TA1_GR_2019_0058	20
AIDA_TA1_GR_2019_0059	20
AIDA_TA1_GR_2019_0060	20
AIDA_TA1_GR_2019_0061	20
AIDA_TA1_GR_2019_0062	20
AIDA_TA1_GR_2019_0063	20
AIDA_TA1_GR_2019_0064	20
AIDA_TA1_GR_2019_0065	20
AIDA_TA1_GR_2019_0066	20
AIDA_TA1_GR_2019_0067	20
AIDA_TA1_GR_2019_0068	20
AIDA_TA1_GR_2019_0069	20
AIDA_TA1_GR_2019_0070	20
AIDA_TA1_GR_2019_0071	20
AIDA_TA1_GR_2019_0072	20
AIDA_TA1_GR_2019_0073	20
AIDA_TA1_GR_2019_0074	20
AIDA_TA1_GR_2019_0075	20
AIDA_TA1_GR_2019_0076	20
AIDA_TA1_GR_2019_0077	20
AIDA_TA1_GR_2019_0078	20
AIDA_TA1_GR_2019_0079	20
AIDA_TA1_GR_2019_0080	20
AIDA_TA1_GR_2019_0081	20
AIDA_TA1_GR_2019_0082	20
AIDA_TA1_GR_2019_0083	20
AIDA_TA1_GR_2019_0084	20
AIDA_TA1_GR_2019_0085	20
AIDA_TA1_GR_2019_0086	20
AIDA_TA1_GR_2019_0087	20
AIDA_TA1_GR_2019_0088	20
AIDA_TA1_GR_2019_0089	20
AIDA_TA1_GR_2019_0090	20
AIDA_TA1_GR_2019_0091	20
AIDA_TA1_GR_2019_0092	20
AIDA_TA1_GR_2019_0093	20
AIDA_TA1_GR_2019_0094	20
AIDA_TA1_GR_2019_0095	20
AIDA_TA1_GR_2019_0096	20
AIDA_TA1_GR_2019_0097	20
AIDA_TA1_GR_2019_0098	20
AIDA_TA1_GR_2019_0099	20
AIDA_TA1_GR_2019_0100	20
AIDA_TA1_GR_2019_0101	20
AIDA_TA1_GR_2019_0102	20
AIDA_TA1_GR_2019_0103	20
AIDA_TA1_GR_2019_0104	20
AIDA_TA1_GR_2019_0105	20
AIDA_TA1_GR_2019_0106	20
AIDA_TA1_GR_2019_0107	20
AIDA_TA1_GR_2019_0108	20
AIDA_TA1_GR_2019_0109	20
AIDA_TA1_GR_2019_0110	20
