DocID	RunID	Language	Metatype	Prec	Recall	F1
L0C0492UF	example-task1-run	ENG	Entity	0.0000	0.0000	0.0000
L0C0492UF	example-task1-run	ENG	Event	0.0000	0.0000	0.0000
L0C0492UF	example-task1-run	ENG	ALL	0.0000	0.0000	0.0000
L0C0493JK	example-task1-run	ENG	Entity	0.0000	0.0000	0.0000
L0C0493JK	example-task1-run	ENG	Event	0.0000	0.0000	0.0000
L0C0493JK	example-task1-run	ENG	ALL	0.0000	0.0000	0.0000
L0C049547	example-task1-run	SPA	Entity	0.0000	0.0000	0.0000
L0C049547	example-task1-run	SPA	Event	0.0000	0.0000	0.0000
L0C049547	example-task1-run	SPA	ALL	0.0000	0.0000	0.0000
L0C0496JI	example-task1-run	RUS	Entity	0.0000	0.0000	0.0000
L0C0496JI	example-task1-run	RUS	Event	0.0000	0.0000	0.0000
L0C0496JI	example-task1-run	RUS	ALL	0.0000	0.0000	0.0000
L0C0496PB	example-task1-run	ENG	Entity	0.0000	0.0000	0.0000
L0C0496PB	example-task1-run	ENG	Event	0.0000	0.0000	0.0000
L0C0496PB	example-task1-run	ENG	ALL	0.0000	0.0000	0.0000
L0C0496XY	example-task1-run	RUS	Entity	0.0000	0.0000	0.0000
L0C0496XY	example-task1-run	RUS	Event	0.0000	0.0000	0.0000
L0C0496XY	example-task1-run	RUS	ALL	0.0000	0.0000	0.0000
L0C04976P	example-task1-run	RUS	Entity	0.0000	0.0000	0.0000
L0C04976P	example-task1-run	RUS	Event	0.0000	0.0000	0.0000
L0C04976P	example-task1-run	RUS	ALL	0.0000	0.0000	0.0000
L0C0499AX	example-task1-run	ENG	Entity	0.0000	0.0000	0.0000
L0C0499AX	example-task1-run	ENG	Event	0.0000	0.0000	0.0000
L0C0499AX	example-task1-run	ENG	ALL	0.0000	0.0000	0.0000
L0C0499BP	example-task1-run	ENG	Entity	0.0000	0.0000	0.0000
L0C0499BP	example-task1-run	ENG	Event	0.0000	0.0000	0.0000
L0C0499BP	example-task1-run	ENG	ALL	0.0000	0.0000	0.0000
L0C049BAK	example-task1-run	RUS	Entity	0.0000	0.0000	0.0000
L0C049BAK	example-task1-run	RUS	Event	0.0000	0.0000	0.0000
L0C049BAK	example-task1-run	RUS	ALL	0.0000	0.0000	0.0000
L0C049C8Z	example-task1-run	SPA	Entity	0.0000	0.0000	0.0000
