?is_assertion_negated	?subject_metatype	?subject	?is_subject_negated	?predicate	?object_metatype	?object	?is_object_negated	?predicate_justification	?argument_assertion_confidence	?predicate_justification_confidence
NotNegated	Relation	cluster-NILQR30346	NotNegated	A0	Entity	cluster-Q62742160	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Relation	cluster-NILQR30346	NotNegated	A1	Entity	cluster-Q7914455	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Relation	cluster-NILQR30349	NotNegated	A0	Entity	cluster-Q390551	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Relation	cluster-NILQR30349	NotNegated	A1	Entity	cluster-Q6973027	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Relation	cluster-NILQR30351	NotNegated	A0	Event	cluster-NILQV30480	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Relation	cluster-NILQR30351	NotNegated	A1	Entity	cluster-Q6973027	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30479	Negated	A1_dir_source_patient	Entity	cluster-NILQE31239	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30479	Negated	A2_ppt_theme_illness_or_injury	Entity	cluster-NILQE31238	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30479	Negated	A3_mnr__instrument_treatment	Entity	cluster-NILQE31237	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30480	NotNegated	A1_ppt__patient	Entity	cluster-NILQE31247	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30480	NotNegated	A2_ppt__illness_or_injury	Entity	cluster-NILQE31238	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30480	NotNegated	A3_mnr__instrument	Entity	cluster-NILQE31237	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30480	NotNegated	A3_mnr__instrument	Entity	cluster-NILQE31249	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30480	NotNegated	AM_loc__location	Entity	cluster-NILQE31241	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30481	NotNegated	A0_pag_agent_student	Entity	cluster-NILQE31240	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30481	NotNegated	A0_pag_agent_student	Entity	cluster-Q62742160	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30481	NotNegated	A0_pag_agent_student	Entity	cluster-Q97309777	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
