metatype	system_or_gold	cluster1	cluster2	similarity
Entity	system	cluster-NILE21300	cluster-NILE21300	1
Entity	system	cluster-NILE21300	cluster-NILE21301	0
Entity	system	cluster-NILE21300	cluster-NILE21302	0
Entity	system	cluster-NILE21300	cluster-NILE21303	0
Entity	system	cluster-NILE21300	cluster-NILE21304	0
Entity	system	cluster-NILE21300	cluster-NILE21305	0
Entity	system	cluster-NILE21300	cluster-NILE21306	0
Entity	system	cluster-NILE21300	cluster-NILE21307	0
Entity	system	cluster-NILE21300	cluster-NILE21308	0
Entity	system	cluster-NILE21300	cluster-NILE21309	0
Entity	system	cluster-NILE21300	cluster-NILE21310	0
Entity	system	cluster-NILE21300	cluster-NILE21311	0
Entity	system	cluster-NILE21301	cluster-NILE21300	0
Entity	system	cluster-NILE21301	cluster-NILE21301	1
Entity	system	cluster-NILE21301	cluster-NILE21302	0
Entity	system	cluster-NILE21301	cluster-NILE21303	0
Entity	system	cluster-NILE21301	cluster-NILE21304	0
Entity	system	cluster-NILE21301	cluster-NILE21305	0
Entity	system	cluster-NILE21301	cluster-NILE21306	0
Entity	system	cluster-NILE21301	cluster-NILE21307	0
Entity	system	cluster-NILE21301	cluster-NILE21308	0
Entity	system	cluster-NILE21301	cluster-NILE21309	0
Entity	system	cluster-NILE21301	cluster-NILE21310	0
Entity	system	cluster-NILE21301	cluster-NILE21311	0
Entity	system	cluster-NILE21302	cluster-NILE21300	0
Entity	system	cluster-NILE21302	cluster-NILE21301	0
Entity	system	cluster-NILE21302	cluster-NILE21302	1
Entity	system	cluster-NILE21302	cluster-NILE21303	0
Entity	system	cluster-NILE21302	cluster-NILE21304	0
Entity	system	cluster-NILE21302	cluster-NILE21305	0
Entity	system	cluster-NILE21302	cluster-NILE21306	0
Entity	system	cluster-NILE21302	cluster-NILE21307	0
Entity	system	cluster-NILE21302	cluster-NILE21308	0
Entity	system	cluster-NILE21302	cluster-NILE21309	0
Entity	system	cluster-NILE21302	cluster-NILE21310	0
Entity	system	cluster-NILE21302	cluster-NILE21311	0
Entity	system	cluster-NILE21303	cluster-NILE21300	0
Entity	system	cluster-NILE21303	cluster-NILE21301	0
Entity	system	cluster-NILE21303	cluster-NILE21302	0
Entity	system	cluster-NILE21303	cluster-NILE21303	1
Entity	system	cluster-NILE21303	cluster-NILE21304	0
Entity	system	cluster-NILE21303	cluster-NILE21305	0
Entity	system	cluster-NILE21303	cluster-NILE21306	0
Entity	system	cluster-NILE21303	cluster-NILE21307	0
Entity	system	cluster-NILE21303	cluster-NILE21308	0
Entity	system	cluster-NILE21303	cluster-NILE21309	0
Entity	system	cluster-NILE21303	cluster-NILE21310	0
Entity	system	cluster-NILE21303	cluster-NILE21311	0
Entity	system	cluster-NILE21304	cluster-NILE21300	0
Entity	system	cluster-NILE21304	cluster-NILE21301	0
Entity	system	cluster-NILE21304	cluster-NILE21302	0
Entity	system	cluster-NILE21304	cluster-NILE21303	0
Entity	system	cluster-NILE21304	cluster-NILE21304	1
Entity	system	cluster-NILE21304	cluster-NILE21305	0
Entity	system	cluster-NILE21304	cluster-NILE21306	0
Entity	system	cluster-NILE21304	cluster-NILE21307	0
Entity	system	cluster-NILE21304	cluster-NILE21308	0
Entity	system	cluster-NILE21304	cluster-NILE21309	0
Entity	system	cluster-NILE21304	cluster-NILE21310	0
