metatype	system_or_gold	cluster1	cluster2	similarity
Entity	system	cluster-NILE21445	cluster-NILE21445	1
Entity	system	cluster-NILE21445	cluster-NILE21446	0
Entity	system	cluster-NILE21445	cluster-NILE21447	0
Entity	system	cluster-NILE21445	cluster-NILE21448	0
Entity	system	cluster-NILE21445	cluster-NILE21449	0
Entity	system	cluster-NILE21445	cluster-NILE21450	0
Entity	system	cluster-NILE21445	cluster-NILE21451	0
Entity	system	cluster-NILE21445	cluster-NILE21452	0
Entity	system	cluster-NILE21445	cluster-NILE21453	0
Entity	system	cluster-NILE21445	cluster-NILE21454	0
Entity	system	cluster-NILE21445	cluster-NILE21455	0
Entity	system	cluster-NILE21445	cluster-NILE21456	0
Entity	system	cluster-NILE21445	cluster-NILE21457	0
Entity	system	cluster-NILE21445	cluster-NILE21458	0
Entity	system	cluster-NILE21445	cluster-NILE21459	0
Entity	system	cluster-NILE21445	cluster-NILE21460	0
Entity	system	cluster-NILE21445	cluster-NILE21461	0
Entity	system	cluster-NILE21445	cluster-NILE21462	0
Entity	system	cluster-NILE21446	cluster-NILE21445	0
Entity	system	cluster-NILE21446	cluster-NILE21446	1
Entity	system	cluster-NILE21446	cluster-NILE21447	0
Entity	system	cluster-NILE21446	cluster-NILE21448	0
Entity	system	cluster-NILE21446	cluster-NILE21449	0
Entity	system	cluster-NILE21446	cluster-NILE21450	0
Entity	system	cluster-NILE21446	cluster-NILE21451	0
Entity	system	cluster-NILE21446	cluster-NILE21452	0
Entity	system	cluster-NILE21446	cluster-NILE21453	0
Entity	system	cluster-NILE21446	cluster-NILE21454	0
Entity	system	cluster-NILE21446	cluster-NILE21455	0
Entity	system	cluster-NILE21446	cluster-NILE21456	0
Entity	system	cluster-NILE21446	cluster-NILE21457	0
Entity	system	cluster-NILE21446	cluster-NILE21458	0
Entity	system	cluster-NILE21446	cluster-NILE21459	0
Entity	system	cluster-NILE21446	cluster-NILE21460	0
Entity	system	cluster-NILE21446	cluster-NILE21461	0
Entity	system	cluster-NILE21446	cluster-NILE21462	0
Entity	system	cluster-NILE21447	cluster-NILE21445	0
Entity	system	cluster-NILE21447	cluster-NILE21446	0
Entity	system	cluster-NILE21447	cluster-NILE21447	1
Entity	system	cluster-NILE21447	cluster-NILE21448	0
Entity	system	cluster-NILE21447	cluster-NILE21449	0
Entity	system	cluster-NILE21447	cluster-NILE21450	0
