metatype	system_or_gold	cluster1	cluster2	similarity
Entity	system	cluster-NILE22385	cluster-NILE22385	1
Entity	system	cluster-NILE22385	cluster-NILE22386	0
Entity	system	cluster-NILE22385	cluster-NILE22387	0
Entity	system	cluster-NILE22385	cluster-NILE22388	0
Entity	system	cluster-NILE22385	cluster-NILE22389	0
Entity	system	cluster-NILE22385	cluster-NILE22390	0
Entity	system	cluster-NILE22385	cluster-NILE22391	0
Entity	system	cluster-NILE22385	cluster-NILE22392	0
Entity	system	cluster-NILE22385	cluster-NILE22393	0
Entity	system	cluster-NILE22385	cluster-NILE22394	0
Entity	system	cluster-NILE22385	cluster-NILE22395	0
Entity	system	cluster-NILE22385	cluster-NILE22396	0
Entity	system	cluster-NILE22385	cluster-NILE22397	0
Entity	system	cluster-NILE22385	cluster-NILE22398	0
Entity	system	cluster-NILE22385	cluster-NILE22400	0
Entity	system	cluster-NILE22386	cluster-NILE22385	0
Entity	system	cluster-NILE22386	cluster-NILE22386	1
Entity	system	cluster-NILE22386	cluster-NILE22387	0
Entity	system	cluster-NILE22386	cluster-NILE22388	0
Entity	system	cluster-NILE22386	cluster-NILE22389	0
Entity	system	cluster-NILE22386	cluster-NILE22390	0
Entity	system	cluster-NILE22386	cluster-NILE22391	0
Entity	system	cluster-NILE22386	cluster-NILE22392	0
Entity	system	cluster-NILE22386	cluster-NILE22393	0
Entity	system	cluster-NILE22386	cluster-NILE22394	0
Entity	system	cluster-NILE22386	cluster-NILE22395	0
Entity	system	cluster-NILE22386	cluster-NILE22396	0
Entity	system	cluster-NILE22386	cluster-NILE22397	0
Entity	system	cluster-NILE22386	cluster-NILE22398	0
Entity	system	cluster-NILE22386	cluster-NILE22400	0
Entity	system	cluster-NILE22387	cluster-NILE22385	0
Entity	system	cluster-NILE22387	cluster-NILE22386	0
Entity	system	cluster-NILE22387	cluster-NILE22387	1
Entity	system	cluster-NILE22387	cluster-NILE22388	0
Entity	system	cluster-NILE22387	cluster-NILE22389	0
Entity	system	cluster-NILE22387	cluster-NILE22390	0
Entity	system	cluster-NILE22387	cluster-NILE22391	0
Entity	system	cluster-NILE22387	cluster-NILE22392	0
Entity	system	cluster-NILE22387	cluster-NILE22393	0
Entity	system	cluster-NILE22387	cluster-NILE22394	0
Entity	system	cluster-NILE22387	cluster-NILE22395	0
Entity	system	cluster-NILE22387	cluster-NILE22396	0
Entity	system	cluster-NILE22387	cluster-NILE22397	0
Entity	system	cluster-NILE22387	cluster-NILE22398	0
Entity	system	cluster-NILE22387	cluster-NILE22400	0
Entity	system	cluster-NILE22388	cluster-NILE22385	0
Entity	system	cluster-NILE22388	cluster-NILE22386	0
Entity	system	cluster-NILE22388	cluster-NILE22387	0
Entity	system	cluster-NILE22388	cluster-NILE22388	8
Entity	system	cluster-NILE22388	cluster-NILE22389	0
Entity	system	cluster-NILE22388	cluster-NILE22390	0
Entity	system	cluster-NILE22388	cluster-NILE22391	0
Entity	system	cluster-NILE22388	cluster-NILE22392	0
Entity	system	cluster-NILE22388	cluster-NILE22393	0
Entity	system	cluster-NILE22388	cluster-NILE22394	0
Entity	system	cluster-NILE22388	cluster-NILE22395	0
Entity	system	cluster-NILE22388	cluster-NILE22396	0
Entity	system	cluster-NILE22388	cluster-NILE22397	0
Entity	system	cluster-NILE22388	cluster-NILE22398	0
Entity	system	cluster-NILE22388	cluster-NILE22400	0
Entity	system	cluster-NILE22389	cluster-NILE22385	0
Entity	system	cluster-NILE22389	cluster-NILE22386	0
Entity	system	cluster-NILE22389	cluster-NILE22387	0
Entity	system	cluster-NILE22389	cluster-NILE22388	0
Entity	system	cluster-NILE22389	cluster-NILE22389	2
Entity	system	cluster-NILE22389	cluster-NILE22390	0
Entity	system	cluster-NILE22389	cluster-NILE22391	0
Entity	system	cluster-NILE22389	cluster-NILE22392	0
Entity	system	cluster-NILE22389	cluster-NILE22393	0
Entity	system	cluster-NILE22389	cluster-NILE22394	0
Entity	system	cluster-NILE22389	cluster-NILE22395	0
Entity	system	cluster-NILE22389	cluster-NILE22396	0
Entity	system	cluster-NILE22389	cluster-NILE22397	0
Entity	system	cluster-NILE22389	cluster-NILE22398	0
Entity	system	cluster-NILE22389	cluster-NILE22400	0
Entity	system	cluster-NILE22390	cluster-NILE22385	0
Entity	system	cluster-NILE22390	cluster-NILE22386	0
Entity	system	cluster-NILE22390	cluster-NILE22387	0
Entity	system	cluster-NILE22390	cluster-NILE22388	0
Entity	system	cluster-NILE22390	cluster-NILE22389	0
Entity	system	cluster-NILE22390	cluster-NILE22390	1
Entity	system	cluster-NILE22390	cluster-NILE22391	0
Entity	system	cluster-NILE22390	cluster-NILE22392	0
Entity	system	cluster-NILE22390	cluster-NILE22393	0
Entity	system	cluster-NILE22390	cluster-NILE22394	0
Entity	system	cluster-NILE22390	cluster-NILE22395	0
Entity	system	cluster-NILE22390	cluster-NILE22396	0
Entity	system	cluster-NILE22390	cluster-NILE22397	0
Entity	system	cluster-NILE22390	cluster-NILE22398	0
Entity	system	cluster-NILE22390	cluster-NILE22400	0
Entity	system	cluster-NILE22391	cluster-NILE22385	0
Entity	system	cluster-NILE22391	cluster-NILE22386	0
Entity	system	cluster-NILE22391	cluster-NILE22387	0
Entity	system	cluster-NILE22391	cluster-NILE22388	0
Entity	system	cluster-NILE22391	cluster-NILE22389	0
Entity	system	cluster-NILE22391	cluster-NILE22390	0
Entity	system	cluster-NILE22391	cluster-NILE22391	1
Entity	system	cluster-NILE22391	cluster-NILE22392	0
Entity	system	cluster-NILE22391	cluster-NILE22393	0
Entity	system	cluster-NILE22391	cluster-NILE22394	0
Entity	system	cluster-NILE22391	cluster-NILE22395	0
Entity	system	cluster-NILE22391	cluster-NILE22396	0
Entity	system	cluster-NILE22391	cluster-NILE22397	0
