metatype	system_or_gold	cluster1	cluster2	similarity
Entity	system	cluster-NILE21435	cluster-NILE21435	1
Entity	system	cluster-NILE21435	cluster-NILE21436	0
Entity	system	cluster-NILE21435	cluster-NILE21437	0
Entity	system	cluster-NILE21435	cluster-NILE21438	0
Entity	system	cluster-NILE21435	cluster-NILE21439	0
Entity	system	cluster-NILE21435	cluster-NILE21440	0
Entity	system	cluster-NILE21436	cluster-NILE21435	0
Entity	system	cluster-NILE21436	cluster-NILE21436	2
Entity	system	cluster-NILE21436	cluster-NILE21437	0
Entity	system	cluster-NILE21436	cluster-NILE21438	0
Entity	system	cluster-NILE21436	cluster-NILE21439	0
Entity	system	cluster-NILE21436	cluster-NILE21440	0
Entity	system	cluster-NILE21437	cluster-NILE21435	0
Entity	system	cluster-NILE21437	cluster-NILE21436	0
Entity	system	cluster-NILE21437	cluster-NILE21437	2
Entity	system	cluster-NILE21437	cluster-NILE21438	0
Entity	system	cluster-NILE21437	cluster-NILE21439	0
Entity	system	cluster-NILE21437	cluster-NILE21440	0
Entity	system	cluster-NILE21438	cluster-NILE21435	0
Entity	system	cluster-NILE21438	cluster-NILE21436	0
Entity	system	cluster-NILE21438	cluster-NILE21437	0
Entity	system	cluster-NILE21438	cluster-NILE21438	1
Entity	system	cluster-NILE21438	cluster-NILE21439	0
Entity	system	cluster-NILE21438	cluster-NILE21440	0
Entity	system	cluster-NILE21439	cluster-NILE21435	0
Entity	system	cluster-NILE21439	cluster-NILE21436	0
Entity	system	cluster-NILE21439	cluster-NILE21437	0
Entity	system	cluster-NILE21439	cluster-NILE21438	0
Entity	system	cluster-NILE21439	cluster-NILE21439	1
Entity	system	cluster-NILE21439	cluster-NILE21440	0
Entity	system	cluster-NILE21440	cluster-NILE21435	0
Entity	system	cluster-NILE21440	cluster-NILE21436	0
Entity	system	cluster-NILE21440	cluster-NILE21437	0
Entity	system	cluster-NILE21440	cluster-NILE21438	0
Entity	system	cluster-NILE21440	cluster-NILE21439	0
Entity	system	cluster-NILE21440	cluster-NILE21440	1
Event	system	cluster-NILV21435	cluster-NILV21435	1
Event	system	cluster-NILV21435	cluster-NILV21436	0
Event	system	cluster-NILV21436	cluster-NILV21435	0
Event	system	cluster-NILV21436	cluster-NILV21436	1
Entity	gold	cluster-NILE21435	cluster-NILE21435	1
Entity	gold	cluster-NILE21435	cluster-NILE21436	0
Entity	gold	cluster-NILE21435	cluster-NILE21437	0
Entity	gold	cluster-NILE21435	cluster-NILE21438	0
Entity	gold	cluster-NILE21435	cluster-NILE21439	0
Entity	gold	cluster-NILE21435	cluster-NILE21440	0
Entity	gold	cluster-NILE21436	cluster-NILE21435	0
Entity	gold	cluster-NILE21436	cluster-NILE21436	2
Entity	gold	cluster-NILE21436	cluster-NILE21437	0
Entity	gold	cluster-NILE21436	cluster-NILE21438	0
Entity	gold	cluster-NILE21436	cluster-NILE21439	0
Entity	gold	cluster-NILE21436	cluster-NILE21440	0
Entity	gold	cluster-NILE21437	cluster-NILE21435	0
Entity	gold	cluster-NILE21437	cluster-NILE21436	0
Entity	gold	cluster-NILE21437	cluster-NILE21437	2
Entity	gold	cluster-NILE21437	cluster-NILE21438	0
Entity	gold	cluster-NILE21437	cluster-NILE21439	0
Entity	gold	cluster-NILE21437	cluster-NILE21440	0
Entity	gold	cluster-NILE21438	cluster-NILE21435	0
Entity	gold	cluster-NILE21438	cluster-NILE21436	0
Entity	gold	cluster-NILE21438	cluster-NILE21437	0
Entity	gold	cluster-NILE21438	cluster-NILE21438	1
Entity	gold	cluster-NILE21438	cluster-NILE21439	0
Entity	gold	cluster-NILE21438	cluster-NILE21440	0
Entity	gold	cluster-NILE21439	cluster-NILE21435	0
Entity	gold	cluster-NILE21439	cluster-NILE21436	0
Entity	gold	cluster-NILE21439	cluster-NILE21437	0
Entity	gold	cluster-NILE21439	cluster-NILE21438	0
Entity	gold	cluster-NILE21439	cluster-NILE21439	1
Entity	gold	cluster-NILE21439	cluster-NILE21440	0
Entity	gold	cluster-NILE21440	cluster-NILE21435	0
Entity	gold	cluster-NILE21440	cluster-NILE21436	0
Entity	gold	cluster-NILE21440	cluster-NILE21437	0
Entity	gold	cluster-NILE21440	cluster-NILE21438	0
Entity	gold	cluster-NILE21440	cluster-NILE21439	0
Entity	gold	cluster-NILE21440	cluster-NILE21440	1
Event	gold	cluster-NILV21435	cluster-NILV21435	1
Event	gold	cluster-NILV21435	cluster-NILV21436	0
Event	gold	cluster-NILV21436	cluster-NILV21435	0
Event	gold	cluster-NILV21436	cluster-NILV21436	1
