?metatype	?subject	?predicate	?object	?predicate_justification	?argument_assertion_confidence	?predicate_justification_confidence
Event	cluster-NILV22100	Conflict.Attack.Bombing_Attacker	cluster-NILE22115	IC001V7VC:IC001VBG7:(176,0)-(180,0)	"1.0"	"1.0"
Event	cluster-NILV22100	Conflict.Attack.Bombing_Instrument	cluster-NILE22100	IC001V7VC:IC001VBG7:(176,0)-(180,0)	"1.0"	"1.0"
Event	cluster-NILV22100	Conflict.Attack.Bombing_Instrument	cluster-NILE22100	IC001V7VC:IC001VBG7:(974,0)-(978,0)	"1.0"	"1.0"
Event	cluster-NILV22100	Conflict.Attack.Bombing_Instrument	cluster-NILE22102	IC001V7VC:IC001VBG7:(1686,0)-(1702,0)	"1.0"	"1.0"
Event	cluster-NILV22100	Conflict.Attack.Bombing_Place	cluster-NILE22125	IC001V7VC:IC001VBG7:(1686,0)-(1702,0)	"1.0"	"1.0"
Event	cluster-NILV22100	Conflict.Attack.Bombing_Place	cluster-NILE22125	IC001V7VC:IC001VBG7:(176,0)-(180,0)	"1.0"	"1.0"
Event	cluster-NILV22100	Conflict.Attack.Bombing_Target	cluster-NILE22118	IC001V7VC:IC001VBG7:(1686,0)-(1702,0)	"1.0"	"1.0"
Event	cluster-NILV22100	Conflict.Attack.Bombing_Target	cluster-NILE22118	IC001V7VC:IC001VBG7:(2371,0)-(2379,0)	"1.0"	"1.0"
Event	cluster-NILV22100	Conflict.Attack_Target	cluster-NILE22118	IC001V7VC:IC001VBG7:(51,0)-(59,0)	"1.0"	"1.0"
Event	cluster-NILV22102	Conflict.Attack.Bombing_Instrument	cluster-NILE22101	IC001V7VC:IC001VBG7:(1800,0)-(1808,0)	"1.0"	"1.0"
Event	cluster-NILV22102	Conflict.Attack.Bombing_Instrument	cluster-NILE22101	IC001V7VC:IC001VBG7:(2015,0)-(2020,0)	"1.0"	"1.0"
Event	cluster-NILV22102	Conflict.Attack.Bombing_Place	cluster-NILE22121	IC001V7VC:IC001VBG7:(1800,0)-(1808,0)	"1.0"	"1.0"
Event	cluster-NILV22102	Conflict.Attack.Bombing_Target	cluster-NILE22118	IC001V7VC:IC001VBG7:(2015,0)-(2020,0)	"1.0"	"1.0"
Event	cluster-NILV22104	Life.Injure.InjuryCausedByViolentEvents_Instrument	cluster-NILE22101	IC001V7VC:IC001VBG7:(2050,0)-(2057,0)	"1.0"	"1.0"
Event	cluster-NILV22104	Life.Injure.InjuryCausedByViolentEvents_MedicalIssue	cluster-NILE22122	IC001V7VC:IC001VBG7:(2050,0)-(2057,0)	"1.0"	"1.0"
Event	cluster-NILV22104	Life.Injure.InjuryCausedByViolentEvents_Victim	cluster-NILE22110	IC001V7VC:IC001VBG7:(2050,0)-(2057,0)	"1.0"	"1.0"
Event	cluster-NILV22105	Movement.TransportArtifact.BringCarryUnload_Artifact	cluster-NILE22100	IC001V7VC:IC001VBG7:(511,0)-(517,0)	"1.0"	"1.0"
Event	cluster-NILV22105	Movement.TransportArtifact.BringCarryUnload_Destination	cluster-NILE22125	IC001V7VC:IC001VBG7:(511,0)-(517,0)	"1.0"	"1.0"
Event	cluster-NILV22106	Contact.Collaborate_Participant	cluster-NILE22104	IC001V7VC:IC001VBG7:(443,0)-(451,0)	"1.0"	"1.0"
Event	cluster-NILV22106	Contact.Collaborate_Participant	cluster-NILE22114	IC001V7VC:IC001VBG7:(443,0)-(451,0)	"1.0"	"1.0"
Event	cluster-NILV22107	Conflict.Attack_Target	cluster-NILE22118	IC001V7VC:IC001VBG7:(1034,0)-(1037,0)	"1.0"	"1.0"
Event	cluster-NILV22108	ArtifactExistence.DamageDestroy.Destroy_Artifact	cluster-NILE22100	IC001V7VC:IC001VBG7:(1933,0)-(1937,0)	"1.0"	"1.0"
Event	cluster-NILV22108	ArtifactExistence.DamageDestroy.Destroy_Destroyer	cluster-NILE22109	IC001V7VC:IC001VBG7:(1933,0)-(1937,0)	"1.0"	"1.0"
Event	cluster-NILV22108	ArtifactExistence.DamageDestroy.Destroy_Instrument	cluster-NILE22124	IC001V7VC:IC001VBG7:(1933,0)-(1937,0)	"1.0"	"1.0"
Relation	cluster-NILR22100	Evaluate.Status.HoaxFraud_HoaxFraud	cluster-NILV22100	IC001V7VC:IC001VBG7:(2391,0)-(2396,0)	"1.0"	"1.0"
Relation	cluster-NILR22100	Evaluate.Status.HoaxFraud_Holder	cluster-NILE22116	IC001V7VC:IC001VBG7:(2391,0)-(2396,0)	"1.0"	"1.0"
Relation	cluster-NILR22101	GeneralAffiliation.Sponsorship.AdvisePlanOrganize_ActorOrEvent	cluster-NILE22115	IC001V7VC:IC001VBG7:(106,0)-(112,0)	"1.0"	"1.0"
Relation	cluster-NILR22101	GeneralAffiliation.Sponsorship.AdvisePlanOrganize_Sponsor	cluster-NILE22114	IC001V7VC:IC001VBG7:(106,0)-(112,0)	"1.0"	"1.0"
Relation	cluster-NILR22102	GeneralAffiliation.Sponsorship.AdvisePlanOrganize_ActorOrEvent	cluster-NILE22123	IC001V7VC:IC001VBG7:(2193,0)-(2212,0)	"1.0"	"1.0"
Relation	cluster-NILR22102	GeneralAffiliation.Sponsorship.AdvisePlanOrganize_Sponsor	cluster-NILE22106	IC001V7VC:IC001VBG7:(2193,0)-(2212,0)	"1.0"	"1.0"
Relation	cluster-NILR22103	Measurement.Size.Count_EntityOrFiller	cluster-NILE22102	IC001V7VC:IC001VBG7:(1751,0)-(1785,0)	"1.0"	"1.0"
Relation	cluster-NILR22103	Measurement.Size.Count_Measurement	cluster-NILE22111	IC001V7VC:IC001VBG7:(1751,0)-(1785,0)	"1.0"	"1.0"
Relation	cluster-NILR22104	Measurement.Size.Count_EntityOrFiller	cluster-NILE22101	IC001V7VC:IC001VBG7:(1788,0)-(1791,0)	"1.0"	"1.0"
Relation	cluster-NILR22104	Measurement.Size.Count_Measurement	cluster-NILE22112	IC001V7VC:IC001VBG7:(1788,0)-(1791,0)	"1.0"	"1.0"
Relation	cluster-NILR22105	Measurement.Size.Count_EntityOrFiller	cluster-NILE22120	IC001V7VC:IC001VBG7:(2253,0)-(2259,0)	"1.0"	"1.0"
Relation	cluster-NILR22105	Measurement.Size.Count_Measurement	cluster-NILE22113	IC001V7VC:IC001VBG7:(2253,0)-(2259,0)	"1.0"	"1.0"
Relation	cluster-NILR22106	OrganizationAffiliation.Leadership.HeadOfState_Country	cluster-NILE22105	IC001V7VC:IC001VBG7:(269,0)-(277,0)	"1.0"	"1.0"
Relation	cluster-NILR22106	OrganizationAffiliation.Leadership.HeadOfState_Leader	cluster-NILE22118	IC001V7VC:IC001VBG7:(269,0)-(277,0)	"1.0"	"1.0"
Relation	cluster-NILR22107	OrganizationAffiliation.Leadership.MilitaryPolice_Leader	cluster-NILE22114	IC001V7VC:IC001VBG7:(371,0)-(375,0)	"1.0"	"1.0"
Relation	cluster-NILR22107	OrganizationAffiliation.Leadership.MilitaryPolice_MilitaryPoliceORG	cluster-NILE22107	IC001V7VC:IC001VBG7:(371,0)-(375,0)	"1.0"	"1.0"
Relation	cluster-NILR22108	OrganizationAffiliation.Leadership.MilitaryPolice_Leader	cluster-NILE22119	IC001V7VC:IC001VBG7:(1840,0)-(1844,0)	"1.0"	"1.0"
Relation	cluster-NILR22108	OrganizationAffiliation.Leadership.MilitaryPolice_MilitaryPoliceORG	cluster-NILE22108	IC001V7VC:IC001VBG7:(1840,0)-(1844,0)	"1.0"	"1.0"
Relation	cluster-NILR22109	OrganizationAffiliation.Leadership_Leader	cluster-NILE22116	IC001V7VC:IC001VBG7:(2322,0)-(2326,0)	"1.0"	"1.0"
Relation	cluster-NILR22109	OrganizationAffiliation.Leadership_Organization	cluster-NILE22115	IC001V7VC:IC001VBG7:(2322,0)-(2326,0)	"1.0"	"1.0"
Relation	cluster-NILR22110	ResponsibilityBlame.AssignBlame.AssignBlame_EntityResponsible	cluster-NILE22116	IC001V7VC:IC001VBG7:(2316,0)-(2320,0)	"1.0"	"1.0"
Relation	cluster-NILR22110	ResponsibilityBlame.AssignBlame.AssignBlame_Event	cluster-NILV22100	IC001V7VC:IC001VBG7:(2316,0)-(2320,0)	"1.0"	"1.0"
Relation	cluster-NILR22111	ResponsibilityBlame.ClaimResponsibility.ClaimResponsibility_EntityResponsible	cluster-NILE22114	IC001V7VC:IC001VBG7:(28,0)-(36,0)	"1.0"	"1.0"
Relation	cluster-NILR22111	ResponsibilityBlame.ClaimResponsibility.ClaimResponsibility_Event	cluster-NILV22100	IC001V7VC:IC001VBG7:(28,0)-(36,0)	"1.0"	"1.0"
Relation	cluster-NILR22112	GeneralAffiliation.Sponsorship.Affiliated_ActorOrEvent	cluster-NILE22115	IC001V7VC:IC001VBG7:(613,0)-(622,0)	"1.0"	"1.0"
Relation	cluster-NILR22112	GeneralAffiliation.Sponsorship.Affiliated_Sponsor	cluster-NILE22114	IC001V7VC:IC001VBG7:(613,0)-(622,0)	"1.0"	"1.0"
