?cluster	?metatype	?type	?mention_span	?type_statement_confidence	?cluster_membership_confidence	?mention_type_justification_confidence
cluster-NILE21445	Entity	PER	JC002YD6G:JC002YD6I:(492,0)-(501,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21446	Entity	GPE	JC002YD6G:JC002YD6I:(439,0)-(444,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21447	Entity	ORG.Government	JC002YD6G:JC002YD6I:(600,0)-(629,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21448	Entity	MHI.SymptomPresentation.SymptomPresentation	JC002YD6G:JC002YD6I:(276,0)-(285,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21449	Entity	GPE	JC002YD6G:JC002YD6I:(787,0)-(793,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21450	Entity	ORG	JC002YD6G:JC002YD6I:(410,0)-(419,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21451	Entity	MHI.SymptomPresentation.SymptomPresentation	JC002YD6G:JC002YD6I:(262,0)-(267,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21452	Entity	ORG.Government	JC002YD6G:JC002YD6I:(689,0)-(696,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21453	Entity	FAC.Installation	JC002YD6G:JC002YD6I:(509,0)-(535,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21454	Entity	FAC.Installation	JC002YD6G:JC002YD6I:(359,0)-(390,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21455	Entity	GPE.UrbanArea.City	JC002YD6G:JC002YD6I:(529,0)-(535,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21456	Entity	PER.Politician.HeadOfGovernment	JC002YD6G:JC002YD6I:(553,0)-(566,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21457	Entity	PER	JC002YD6G:JC002YD6I:(174,0)-(177,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21458	Entity	PER	JC002YD6G:JC002YD6I:(755,0)-(762,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21459	Entity	PER	JC002YD6G:JC002YD6I:(393,0)-(402,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21459	Entity	PER	JC002YD6G:JC002YD6I:(446,0)-(450,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21460	Entity	MHI.SymptomPresentation.SymptomPresentation	JC002YD6G:JC002YD6I:(819,0)-(827,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21461	Entity	GPE.UrbanArea.City	JC002YD6G:JC002YD6I:(212,0)-(218,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21462	Entity	GPE	JC002YD6G:JC002YD6I:(103,0)-(111,0)	"1.0"	"1.0"	"1.0"
cluster-NILE21462	Entity	GPE	JC002YD6G:JC002YD6I:(620,0)-(629,0)	"1.0"	"1.0"	"1.0"
cluster-NILR21445	Relation	OrganizationAffiliation.Leadership	JC002YD6G:JC002YD6I:(393,0)-(402,0)	"1.0"	"1.0"	"1.0"
cluster-NILV21445	Event	Contact.ThreatenCoerce	JC002YD6G:JC002YD6I:(541,0)-(547,0)	"1.0"	"1.0"	"1.0"
cluster-NILV21445	Event	Contact.ThreatenCoerce	JC002YD6G:JC002YD6I:(677,0)-(683,0)	"1.0"	"1.0"	"1.0"
cluster-NILV21446	Event	Contact.ThreatenCoerce	JC002YD6G:JC002YD6I:(461,0)-(469,0)	"1.0"	"1.0"	"1.0"
cluster-NILV21447	Event	Life.Die.NonviolentDeath	JC002YD6G:JC002YD6I:(190,0)-(197,0)	"1.0"	"1.0"	"1.0"
cluster-NILV21447	Event	Life.Die.NonviolentDeath	JC002YD6G:JC002YD6I:(482,0)-(487,0)	"1.0"	"1.0"	"1.0"
cluster-NILV21447	Event	Life.Die.NonviolentDeath	JC002YD6G:JC002YD6I:(768,0)-(776,0)	"1.0"	"1.0"	"1.0"
