?cluster	?sa_month	?sa_day	?sa_year	?sb_month	?sb_day	?sb_year	?ea_month	?ea_day	?ea_year	?eb_month	?eb_day	?eb_year
cluster-NILR22415							"09"	"01"	"2014"	"09"	"30"	"2014"
cluster-NILR22416												
cluster-NILR22417												
cluster-NILR22418												
cluster-NILR22419	"01"	"01"	"2014"	"12"	"31"	"2014"	"01"	"01"	"2014"	"12"	"31"	"2014"
cluster-NILV22415												
cluster-NILV22416												
cluster-NILV22417	"09"	"01"	"2014"	"09"	"30"	"2014"						
cluster-NILV22418							"09"	"01"	"2014"	"09"	"30"	"2014"
cluster-NILV22420												
cluster-NILV22421	"01"	"01"	"2014"	"12"	"31"	"2014"						
cluster-NILV22422	"01"	"01"	"2014"	"12"	"31"	"2014"	"01"	"01"	"2014"	"12"	"31"	"2014"
