?cluster	?metatype	?type	?mention_span	?type_statement_confidence	?cluster_membership_confidence	?mention_type_justification_confidence
cluster-NILE21300	Entity	PER.MilitaryPersonnel	IC001VCIQ:IC001VCIS_10:(197,55)-(460,336)	"1.0"	"1.0"	"1.0"
cluster-NILE21301	Entity	PER.MilitaryPersonnel	IC001VCIQ:IC001VCIS_11:(73,27)-(521,336)	"1.0"	"1.0"	"1.0"
cluster-NILE21302	Entity	GPE.UrbanArea.City	IC001VCIQ:IC001VCIS_11:(445,26)-(490,40)	"1.0"	"1.0"	"1.0"
cluster-NILE21303	Entity	PER	IC001VCIQ:IC001VCIS_10:(32,47)-(296,335)	"1.0"	"1.0"	"1.0"
cluster-NILE21304	Entity	PER.MilitaryPersonnel	IC001VCIQ:IC001VCIS_10:(1,46)-(197,333)	"1.0"	"1.0"	"1.0"
cluster-NILE21305	Entity	PER.MilitaryPersonnel	IC001VCIQ:IC001VCIS_10:(197,10)-(365,327)	"1.0"	"1.0"	"1.0"
cluster-NILE21306	Entity	PER.MilitaryPersonnel	IC001VCIQ:IC001VCIS_10:(411,75)-(591,334)	"1.0"	"1.0"	"1.0"
cluster-NILE21307	Entity	PER.Politician.HeadOfGovernment	IC001VCIQ:IC001VCIS_14:(175,14)-(479,335)	"1.0"	"1.0"	"1.0"
cluster-NILE21308	Entity	PER.ProfessionalPosition.Journalist	IC001VCIQ:IC001VCIS_13:(464,2)-(561,231)	"1.0"	"1.0"	"1.0"
cluster-NILE21309	Entity	PER.ProfessionalPosition.Journalist	IC001VCIQ:IC001VCIS_13:(104,0)-(419,169)	"1.0"	"1.0"	"1.0"
cluster-NILE21310	Entity	PER.MilitaryPersonnel	IC001VCIQ:IC001VCIS_13:(62,43)-(334,323)	"1.0"	"1.0"	"1.0"
cluster-NILE21311	Entity	PER.MilitaryPersonnel	IC001VCIQ:IC001VCIS_13:(271,39)-(565,274)	"1.0"	"1.0"	"1.0"
cluster-NILV21300	Event	Life.Injure.InjuryCausedByViolentEvents	IC001VCIQ:IC001VCIS:(64.936,0)-(69.328,0)	"1.0"	"1.0"	"1.0"
cluster-NILV21301	Event	Movement.TransportPerson.EvacuationRescue	IC001VCIQ:IC001VCIS:(64.936,0)-(69.231,0)	"1.0"	"1.0"	"1.0"
cluster-NILV21301	Event	Movement.TransportPerson.EvacuationRescue	IC001VCIQ:IC001VCIS:(69.313,0)-(77.414,0)	"1.0"	"1.0"	"1.0"
cluster-NILV21302	Event	Conflict.Attack.Bombing	IC001VCIQ:IC001VCIS:(89.868,0)-(96.093,0)	"1.0"	"1.0"	"1.0"
