claim_id	component_type	id	fieldname	value	correctness
CLL0C04AJNP.001807	claimTopic	1	value	Places where there are regulations for wearing masks to prevent the spread of COVID-19	--
CLL0C04AJNP.001807	claimSubtopic	1	value		--
CLL0C04AJNP.001807	claimDescription	1	value	Aldi requires mask in store	--
CLL0C04AJNP.001807	claimTemplate	1	value		NIL
CLL0C04AJNP.001807	claimDocument	1	value	L0C04AJNP	--
CLL0C04AJNP.001807	claimEpistemic	1	polarity	EpistemicTrueCertain	NIL
CLL0C04AJNP.001807	claimEpistemic	1	strength	EpistemicTrueCertain	NIL
CLL0C04AJNP.001807	claimSentiment	1	value	SentimentNeutralUnknown	NIL
CLL0C04AJNP.001807	date	1	range	(0001-01-01,9999-12-31)-(0001-01-01,9999-12-31)	NIL
CLL0C04AJNP.001807	claimer	1	name	author	NIL
CLL0C04AJNP.001807	claimer	1	qnode_id	EMPTY_TBD	NIL
CLL0C04AJNP.001807	claimer	1	qnode_type	EMPTY_TBD	NIL
CLL0C04AJNP.001807	claimer	1	qnode_type	Q482980	NIL
CLL0C04AJNP.001807	claimer	1	informativenessAssessment	value	NIL
CLL0C04AJNP.001807	claimer	1	overallAssessment	value	NIL
